data,vazao,q95,di,q50
2002-08-14,5.103,1.42,-3.683,3.61
2002-08-15,4.7014,1.4,-3.3013999999999997,3.6
2002-08-16,4.7014,1.36,-3.3413999999999993,3.56
2002-08-17,4.4154,1.33,-3.0854,3.48
2002-08-18,3.864,1.33,-2.534,3.48
2002-08-19,3.3406,1.33,-2.0105999999999997,3.48
2002-08-20,3.0897,1.32,-1.7697,3.51
2002-08-21,3.0897,1.25,-1.8397000000000001,3.54
2002-08-22,6.2294,1.24,-4.9894,3.51
2002-08-23,17.9189,1.24,-16.678900000000002,3.6
2002-08-24,23.1938,1.2,-21.9938,3.6
2002-08-25,16.0461,1.16,-14.886099999999999,3.58
2002-08-26,14.0333,1.16,-12.8733,3.56
2002-08-27,7.3923,1.16,-6.2322999999999995,3.58
2002-08-28,5.7542,1.16,-4.5942,3.6
2002-08-29,4.8469,1.16,-3.6868999999999996,3.48
2002-08-30,5.9110000000000005,1.16,-4.751,3.48
2002-08-31,21.8919,1.16,-20.7319,3.48
2002-09-01,13.816,1.16,-12.656,3.47
2002-09-02,9.3662,1.16,-8.206199999999999,3.47
2002-09-03,7.2216,1.16,-6.061599999999999,3.48
2002-09-04,5.9110000000000005,1.16,-4.751,3.58
2002-09-05,4.994,1.15,-3.844,3.6
2002-09-06,4.4154,1.13,-3.2854,3.6
2002-09-07,4.4154,1.11,-3.3053999999999997,3.6
2002-09-08,4.1363,1.09,-3.0463000000000005,3.6
2002-09-09,3.0897,1.08,-2.0097,3.6
2002-09-10,3.0897,1.08,-2.0097,3.6
2002-09-11,3.0897,1.08,-2.0097,3.6
2002-09-12,2.8463,1.08,-1.7662999999999998,3.6
2002-09-13,3.4687,1.06,-2.4087,3.6
2002-09-14,8.2678,1.06,-7.207799999999999,3.6
2002-09-15,40.9011,1.05,-39.8511,3.67
2002-09-16,30.6985,1.04,-29.6585,3.74
2002-09-17,23.9884,1.0,-22.9884,3.75
2002-09-18,57.9863,1.0,-56.9863,3.75
2002-09-19,30.6985,1.0,-29.6985,3.85
2002-09-20,32.7705,1.0,-31.7705,3.86
2002-09-21,67.9323,1.0,-66.9323,4.0
2002-09-22,36.4391,1.0,-35.4391,4.1
2002-09-23,23.7224,1.0,-22.7224,4.12
2002-09-24,15.1391,1.0,-14.1391,4.12
2002-09-25,11.7134,1.0,-10.7134,4.14
2002-09-26,9.1796,1.03,-8.149600000000001,4.22
2002-09-27,7.7381,1.04,-6.6981,4.41
2002-09-28,6.8848,1.05,-5.8348,4.7
2002-09-29,5.9110000000000005,1.04,-4.871,4.99
2002-09-30,5.1428,1.04,-4.1028,5.03
2002-10-01,4.994,1.04,-3.9539999999999997,5.14
2002-10-02,11.1082,1.04,-10.068200000000001,5.37
2002-10-03,7.3923,1.04,-6.3523,5.6
2002-10-04,38.3277,1.04,-37.2877,5.71
2002-10-05,97.9826,1.04,-96.9426,5.91
2002-10-06,45.2151,1.04,-44.1751,6.07
2002-10-07,56.877,1.04,-55.837,6.07
2002-10-08,31.2853,1.04,-30.2453,6.23
2002-10-09,24.793000000000006,1.0,-23.793000000000006,6.39
2002-10-10,43.2039,1.0,-42.2039,6.55
2002-10-11,28.9631,0.99,-27.973100000000002,6.55
2002-10-12,21.6349,0.97,-20.6649,6.72
2002-10-13,56.1419,0.97,-55.1719,6.88
2002-10-14,39.2854,0.97,-38.315400000000004,7.22
2002-10-15,28.3932,0.97,-27.4232,7.35
2002-10-16,25.6075,0.97,-24.637500000000003,7.39
2002-10-17,20.8708,0.96,-19.9108,7.56
2002-10-18,15.8175,1.0,-14.8175,7.56
2002-10-19,13.1716,1.06,-12.1116,7.88
2002-10-20,14.0333,1.18,-12.8533,7.91
2002-10-21,28.3932,1.24,-27.153200000000002,7.91
2002-10-22,55.4104,1.24,-54.1704,8.03
2002-10-23,43.2039,1.24,-41.963899999999995,8.07
2002-10-24,26.9869,1.33,-25.6569,8.1
2002-10-25,19.3738,1.35,-18.023799999999998,8.43
2002-10-26,23.1938,1.49,-21.7038,8.29
2002-10-27,21.8919,1.71,-20.1819,8.29
2002-10-28,35.2001,1.89,-33.3101,8.29
2002-10-29,48.2958,2.02,-46.2758,8.3
2002-10-30,33.6739,2.12,-31.553900000000002,8.18
2002-10-31,28.6776,2.14,-26.5376,8.18
2002-11-01,22.6697,2.21,-20.459699999999998,8.28
2002-11-02,21.6349,2.36,-19.2749,8.28
2002-11-03,14.693,2.36,-12.333,8.28
2002-11-04,12.9594,2.39,-10.5694,8.2
2002-11-05,18.641,2.54,-16.101,8.28
2002-11-06,16.507,2.6,-13.907000000000002,8.29
2002-11-07,12.5388,2.6,-9.9388,8.28
2002-11-08,10.7116,2.6,-8.111600000000001,8.29
2002-11-09,8.8106,2.54,-6.270600000000001,8.3
2002-11-10,7.9132,2.49,-5.4232,8.3
2002-11-11,75.9781,2.48,-73.4981,8.3
2002-11-12,96.1816,2.47,-93.7116,8.39
2002-11-13,31.5802,2.41,-29.1702,8.39
2002-11-14,19.8682,2.37,-17.4982,8.3
2002-11-15,15.364,2.36,-13.004000000000001,8.41
2002-11-16,12.9594,2.35,-10.6094,8.46
2002-11-17,10.7116,2.31,-8.4016,8.47
2002-11-18,9.1796,2.26,-6.919600000000001,8.48
2002-11-19,14.693,2.19,-12.503,8.49
2002-11-20,52.8787,2.13,-50.7487,8.48
2002-11-21,24.5237,2.03,-22.4937,8.47
2002-11-22,16.276,1.91,-14.366,8.39
2002-11-23,19.3738,1.91,-17.4638,8.33
2002-11-24,15.8175,1.81,-14.0075,8.27
2002-11-25,11.7134,1.71,-10.0034,7.87
