data,vazao,q95,di,q50
1955-01-29,1.0886,1.06,-0.02859999999999996,2.87
1955-01-30,1.1997,1.06,-0.13969999999999994,2.91
1955-01-31,3.3215,1.07,-2.2515,2.91
1955-02-01,2.8187,1.07,-1.7487000000000001,2.94
1955-02-02,1.6875,1.09,-0.5974999999999999,2.97
1955-02-03,2.7786,1.09,-1.6885999999999999,3.0
1955-02-04,3.3215,1.09,-2.2314999999999996,3.0
1955-02-05,3.7078,1.09,-2.6178,3.0
1955-02-06,3.0428,1.1,-1.9428,3.0
1955-02-07,2.6203,1.1,-1.5202999999999998,3.0
1955-02-08,1.3448,1.12,-0.2247999999999999,3.0
1955-02-09,1.1997,1.12,-0.07969999999999988,3.0
1955-02-10,1.1436,1.12,-0.023599999999999843,3.0
1955-02-11,1.0886,1.12,0.031400000000000095,3.0
1955-02-12,1.0886,1.12,0.031400000000000095,2.98
1955-02-13,1.0616,1.12,0.05840000000000001,2.98
1955-02-14,1.0348,1.12,0.08520000000000016,2.98
1955-02-15,1.3152,1.12,-0.19519999999999982,2.96
1955-02-16,1.0616,1.12,0.05840000000000001,2.94
1955-02-17,0.982,1.12,0.13800000000000012,2.94
1955-02-18,0.9304,1.12,0.1896000000000001,2.94
1955-02-19,0.982,1.14,0.15799999999999992,2.91
1955-02-20,1.1159999999999999,1.14,0.02400000000000002,2.87
1955-02-21,1.4047,1.15,-0.25470000000000015,2.86
1955-02-22,1.655,1.14,-0.5150000000000001,2.83
1955-02-23,4.4236,1.14,-3.2836000000000007,2.83
1955-02-24,3.6586,1.14,-2.5186,2.83
1955-02-25,2.7786,1.14,-1.6386,2.82
1955-02-26,1.4966,1.14,-0.35660000000000003,2.8
1955-02-27,1.1997,1.14,-0.059700000000000086,2.78
1955-02-28,1.3152,1.15,-0.1652,2.77
1955-03-01,1.6228,1.15,-0.4728000000000001,2.75
1955-03-02,1.6228,1.15,-0.4728000000000001,2.74
1955-03-03,2.3902,1.14,-1.2502000000000002,2.7
1955-03-04,1.6228,1.12,-0.5027999999999999,2.68
1955-03-05,1.1436,1.12,-0.023599999999999843,2.66
1955-03-06,1.1436,1.12,-0.023599999999999843,2.65
1955-03-07,2.5427,1.12,-1.4226999999999999,2.62
1955-03-08,3.2275,1.12,-2.1075,2.58
1955-03-09,2.952,1.12,-1.8319999999999999,2.53
1955-03-10,2.1329,1.12,-1.0128999999999997,2.5
1955-03-11,1.7202,1.1,-0.6201999999999999,2.49
1955-03-12,1.6875,1.09,-0.5974999999999999,2.46
1955-03-13,2.3155,1.09,-1.2255,2.43
1955-03-14,1.6875,1.09,-0.5974999999999999,2.41
1955-03-15,1.3746,1.09,-0.28459999999999996,2.4
1955-03-16,2.0263,1.09,-0.9362999999999999,2.37
1955-03-17,2.3902,1.09,-1.3002,2.34
1955-03-18,2.5042,1.07,-1.4342,2.32
1955-03-19,1.5277,1.07,-0.4577,2.28
1955-03-20,1.3448,1.06,-0.28479999999999994,2.27
1955-03-21,1.3746,1.05,-0.3246,2.25
1955-03-22,1.3448,1.04,-0.30479999999999996,2.22
1955-03-23,1.4047,1.04,-0.3647,2.22
1955-03-24,1.922,1.03,-0.8919999999999999,2.19
1955-03-25,1.5592,1.03,-0.5291999999999999,2.18
1955-03-26,1.3152,1.03,-0.2851999999999999,2.16
1955-03-27,1.4966,1.03,-0.4665999999999999,2.14
1955-03-28,2.7386,1.01,-1.7286,2.12
