data,q_m3s,q95,di,q50
1987-09-16,1.739,0.67,-1.069,2.28
1987-09-17,1.9346,0.67,-1.2646000000000002,2.31
1987-09-18,2.3739,0.67,-1.7039,2.35
1987-09-19,1.8409,0.67,-1.1709,2.36
1987-09-20,1.7947,0.67,-1.1246999999999998,2.39
1987-09-21,1.7032,0.67,-1.0332,2.43
1987-09-22,1.6581,0.67,-0.9880999999999999,2.46
1987-09-23,1.3531,0.69,-0.6631,2.58
1987-09-24,1.2697,0.69,-0.5797000000000001,2.63
1987-09-25,1.3531,0.69,-0.6631,2.69
1987-09-26,1.3531,0.69,-0.6631,2.77
1987-09-27,1.1879,0.7,-0.4879,2.89
1987-09-28,1.1477,0.71,-0.4377,3.06
1987-09-29,1.1477,0.72,-0.42769999999999997,3.27
1987-09-30,1.1477,0.72,-0.42769999999999997,3.44
1987-10-01,1.6581,0.72,-0.9380999999999999,3.52
1987-10-02,3.002,0.72,-2.282,3.61
1987-10-03,9.1779,0.75,-8.4279,3.67
1987-10-04,7.8001,0.75,-7.0501,3.73
1987-10-05,4.4507,0.77,-3.6807000000000003,3.79
1987-10-06,3.5026,0.77,-2.7326,3.89
1987-10-07,3.6749,0.78,-2.8949,3.95
1987-10-08,3.2215,0.79,-2.4314999999999998,4.08
1987-10-09,2.6299,0.81,-1.8199,4.16
1987-10-10,2.3739,0.82,-1.5539,4.18
1987-10-11,2.1751,0.83,-1.3451,4.21
1987-10-12,1.8876,0.85,-1.0375999999999999,4.24
1987-10-13,1.7947,0.85,-0.9447,4.24
1987-10-14,1.8409,0.85,-0.9909,4.27
1987-10-15,2.5265,0.88,-1.6465,4.24
1987-10-16,2.1751,0.9,-1.2751000000000001,4.24
1987-10-17,1.7947,0.94,-0.8547,4.24
1987-10-18,2.1263,0.97,-1.1563,4.24
1987-10-19,1.982,0.98,-1.002,4.21
1987-10-20,5.9382,1.1,-4.8382000000000005,4.18
1987-10-21,7.8001,1.17,-6.6301,4.18
1987-10-22,5.7001,1.22,-4.4801,4.18
1987-10-23,4.1468,1.22,-2.9268,4.15
1987-10-24,3.3893,1.22,-2.1693,4.08
1987-10-25,2.8941,1.22,-1.6741,4.03
1987-10-26,2.8941,1.23,-1.6641,3.91
1987-10-27,3.2771,1.24,-2.0370999999999997,3.88
1987-10-28,2.7874,1.25,-1.5373999999999999,3.79
1987-10-29,2.2738,1.26,-1.0138,3.7
1987-10-30,2.2738,1.31,-0.9638,3.56
1987-10-31,2.0298,1.32,-0.7097999999999998,3.52
1987-11-01,1.8409,1.32,-0.5208999999999999,3.45
1987-11-02,1.6133,1.31,-0.3032999999999999,3.39
1987-11-03,1.569,1.31,-0.2589999999999999,3.33
1987-11-04,1.525,1.31,-0.21499999999999986,3.33
1987-11-05,1.4382,1.29,-0.1481999999999999,3.29
1987-11-06,1.4814,1.27,-0.21140000000000003,3.27
1987-11-07,2.1263,1.26,-0.8663000000000001,3.2
1987-11-08,1.8876,1.25,-0.6376,3.15
1987-11-09,3.002,1.23,-1.7719999999999998,3.11
1987-11-10,8.3181,1.21,-7.108099999999999,3.02
1987-11-11,6.0581,1.19,-4.8681,2.97
1987-11-12,3.7911,1.17,-2.6211,2.87
1987-11-13,3.1111,1.11,-2.0011,2.81
1987-11-14,2.6299,1.11,-1.5199,2.79
1987-11-15,2.0779,1.06,-1.0179,2.67
1987-11-16,2.4244,1.04,-1.3843999999999999,2.63
1987-11-17,2.2243,1.04,-1.1843,2.62
1987-11-18,2.0779,0.98,-1.0979,2.58
1987-11-19,1.7947,0.94,-0.8547,2.57
1987-11-20,1.569,0.93,-0.6389999999999999,2.53
1987-11-21,1.3531,0.93,-0.4230999999999999,2.49
1987-11-22,1.2697,0.89,-0.37970000000000004,2.47
1987-11-23,1.6133,0.88,-0.7333,2.43
1987-11-24,1.525,0.88,-0.6449999999999999,2.39
1987-11-25,1.2697,0.84,-0.4297000000000001,2.37
1987-11-26,1.6133,0.82,-0.7933,2.36
1987-11-27,1.7032,0.82,-0.8832000000000001,2.36
1987-11-28,1.3531,0.82,-0.5331,2.36
1987-11-29,1.1477,0.82,-0.3277,2.34
1987-11-30,1.04,0.82,-0.22000000000000008,2.28
1987-12-01,0.9839,0.82,-0.16390000000000005,2.28
1987-12-02,1.04,0.82,-0.22000000000000008,2.27
1987-12-03,0.929,0.82,-0.1090000000000001,2.26
1987-12-04,1.982,0.82,-1.162,2.27
1987-12-05,1.6133,0.82,-0.7933,2.27
1987-12-06,2.2738,0.82,-1.4538000000000002,2.24
1987-12-07,1.8409,0.81,-1.0309,2.24
1987-12-08,1.2286,0.8,-0.42859999999999987,2.25
1987-12-09,1.1079,0.78,-0.3279000000000001,2.25
1987-12-10,1.3112,0.77,-0.5411999999999999,2.26
1987-12-11,1.2286,0.77,-0.4585999999999999,2.27
1987-12-12,1.0686,0.77,-0.2986,2.28
1987-12-13,1.1477,0.75,-0.39769999999999994,2.27
1987-12-14,1.4382,0.77,-0.6681999999999999,2.27
