data,q_m3s,q95,di,q50
2001-09-04,9.1517,3.92,-5.2317,8.3
2001-09-05,8.7228,3.92,-4.8027999999999995,8.3
2001-09-06,11.0079,3.92,-7.087899999999999,8.3
2001-09-07,10.0513,3.92,-6.1312999999999995,8.3
2001-09-08,9.1517,3.92,-5.2317,8.3
2001-09-09,9.5945,3.92,-5.6745,8.3
2001-09-10,8.3075,3.92,-4.387499999999999,8.3
2001-09-11,8.3075,3.92,-4.387499999999999,8.3
2001-09-12,8.3075,3.92,-4.387499999999999,8.3
2001-09-13,7.9056,3.92,-3.9856,8.3
2001-09-14,8.3075,3.98,-4.327499999999999,8.3
2001-09-15,9.1517,4.19,-4.9616999999999996,8.3
2001-09-16,10.0513,4.36,-5.691299999999999,8.31
2001-09-17,10.0513,4.41,-5.641299999999999,8.31
2001-09-18,9.1517,4.44,-4.7116999999999996,8.31
2001-09-19,8.7228,4.44,-4.282799999999999,8.31
2001-09-20,8.3075,4.44,-3.867499999999999,8.31
2001-09-21,9.5945,4.52,-5.0745000000000005,8.31
2001-09-22,8.7228,4.58,-4.142799999999999,8.31
2001-09-23,9.5945,4.61,-4.9845,8.31
2001-09-24,10.0513,4.64,-5.4113,8.31
2001-09-25,9.5945,4.65,-4.9445,8.31
2001-09-26,11.0079,4.65,-6.357899999999999,8.31
2001-09-27,9.1517,4.65,-4.5017,8.31
2001-09-28,8.7228,4.65,-4.072799999999999,8.31
2001-09-29,20.4834,4.65,-15.8334,8.31
2001-09-30,10.5224,4.65,-5.872399999999999,8.39
2001-10-01,9.1517,4.65,-4.5017,8.42
2001-10-02,16.0665,4.65,-11.416500000000001,8.49
2001-10-03,6.4275,4.65,-1.7774999999999999,8.49
2001-10-04,5.4489,4.65,-0.7988999999999997,8.56
2001-10-05,4.855,4.65,-0.20500000000000007,8.6
2001-10-06,4.855,4.65,-0.20500000000000007,8.68
2001-10-07,4.855,4.65,-0.20500000000000007,8.68
2001-10-08,8.7228,4.65,-4.072799999999999,8.68
2001-10-09,14.238,4.65,-9.588,8.68
2001-10-10,10.0513,4.65,-5.401299999999999,8.72
2001-10-11,6.4275,4.65,-1.7774999999999999,8.72
2001-10-12,4.306,4.65,0.3440000000000003,8.8
2001-10-13,7.5169,4.65,-2.8668999999999993,8.72
2001-10-14,7.1411,4.65,-2.4910999999999994,8.8
2001-10-15,6.4275,4.65,-1.7774999999999999,8.83
2001-10-16,6.0893,4.65,-1.4392999999999994,8.83
2001-10-17,6.7781,4.65,-2.1281,8.96
2001-10-18,6.7781,4.65,-2.1281,9.09
2001-10-19,10.0513,4.65,-5.401299999999999,9.15
2001-10-20,11.0079,4.65,-6.357899999999999,9.29
2001-10-21,9.1517,4.65,-4.5017,9.35
2001-10-22,9.1517,4.67,-4.4817,9.35
2001-10-23,8.3075,4.72,-3.5874999999999995,9.35
2001-10-24,7.5169,4.73,-2.7868999999999993,9.35
2001-10-25,6.4275,4.75,-1.6775000000000002,9.37
2001-10-26,7.9056,4.75,-3.1555999999999997,9.37
2001-10-27,7.5169,4.83,-2.6868999999999996,9.37
2001-10-28,7.1411,4.95,-2.1910999999999996,9.38
2001-10-29,6.7781,5.03,-1.7481,9.45
2001-10-30,7.5169,5.14,-2.3769,9.68
2001-10-31,7.1411,5.14,-2.0011,9.68
2001-11-01,6.7781,5.15,-1.6280999999999999,9.53
2001-11-02,6.7781,5.17,-1.6081000000000003,9.47
2001-11-03,6.7781,5.3,-1.4781000000000004,9.76
2001-11-04,7.5169,5.32,-2.1968999999999994,9.89
2001-11-05,7.1411,5.32,-1.8210999999999995,10.05
2001-11-06,7.1411,5.32,-1.8210999999999995,10.05
2001-11-07,6.7781,5.32,-1.4581,10.05
2001-11-08,10.5224,5.32,-5.202399999999999,10.3
2001-11-09,7.9056,5.34,-2.5656,10.44
2001-11-10,6.7781,5.43,-1.3481000000000005,10.44
2001-11-11,10.0513,5.48,-4.571299999999999,10.44
2001-11-12,9.1517,5.48,-3.6716999999999995,10.44
