data,q_m3s,q95,di,q50
1985-01-19,0.8576666666666667,0.12,-0.7376666666666667,1.5
1985-01-20,0.8576666666666667,0.13,-0.7276666666666667,1.52
1985-01-21,0.9333333333333332,0.13,-0.8033333333333332,1.53
1985-01-22,1.0439999999999998,0.13,-0.9139999999999998,1.5
1985-01-23,1.7256666666666665,0.13,-1.5956666666666663,1.5
1985-01-24,0.972,0.12,-0.852,1.5
1985-01-25,0.75,0.13,-0.62,1.49
1985-01-26,0.7143333333333333,0.13,-0.5843333333333333,1.5
1985-01-27,0.75,0.13,-0.62,1.53
1985-01-28,0.7843333333333332,0.13,-0.6543333333333332,1.54
1985-01-29,0.6786666666666666,0.13,-0.5486666666666666,1.54
1985-01-30,0.68,0.13,-0.55,1.54
1985-01-31,0.6416666666666666,0.13,-0.5116666666666666,1.54
1985-02-01,0.5386666666666666,0.13,-0.4086666666666666,1.5
1985-02-02,0.5386666666666667,0.13,-0.40866666666666673,1.47
1985-02-03,0.6086666666666667,0.13,-0.4786666666666667,1.46
1985-02-04,0.505,0.14,-0.365,1.46
1985-02-05,0.7876666666666666,0.14,-0.6476666666666666,1.46
1985-02-06,1.272,0.15,-1.122,1.46
1985-02-07,1.5713333333333332,0.17,-1.4013333333333333,1.46
1985-02-08,0.8233333333333333,0.18,-0.6433333333333333,1.44
1985-02-09,1.4213333333333331,0.21,-1.2113333333333332,1.43
1985-02-10,1.1936666666666669,0.22,-0.9736666666666669,1.42
1985-02-11,0.972,0.24,-0.732,1.4
1985-02-12,0.7143333333333334,0.25,-0.4643333333333334,1.38
1985-02-13,0.47,0.25,-0.21999999999999997,1.38
1985-02-14,0.9359999999999999,0.25,-0.6859999999999999,1.37
1985-02-15,1.611,0.24,-1.371,1.38
1985-02-16,1.268,0.22,-1.048,1.38
1985-02-17,1.008,0.22,-0.788,1.38
1985-02-18,2.0546666666666664,0.2,-1.8546666666666665,1.38
1985-02-19,1.726,0.2,-1.526,1.38
1985-02-20,1.8019999999999998,0.2,-1.6019999999999999,1.42
1985-02-21,1.916,0.21,-1.706,1.42
1985-02-22,1.1159999999999999,0.21,-0.9059999999999999,1.42
1985-02-23,1.008,0.22,-0.788,1.42
1985-02-24,0.9,0.22,-0.68,1.41
1985-02-25,0.82,0.22,-0.6,1.38
1985-02-26,0.75,0.22,-0.53,1.36
1985-02-27,1.0446666666666666,0.22,-0.8246666666666667,1.35
1985-02-28,0.7143333333333333,0.22,-0.4943333333333333,1.34
1985-03-01,0.6786666666666666,0.22,-0.45866666666666667,1.33
1985-03-02,0.7143333333333334,0.22,-0.4943333333333334,1.32
1985-03-03,0.68,0.27,-0.41000000000000003,1.31
1985-03-04,0.68,0.27,-0.41000000000000003,1.32
1985-03-05,0.713,0.27,-0.44299999999999995,1.32
1985-03-06,0.972,0.27,-0.702,1.31
1985-03-07,0.9,0.27,-0.63,1.31
1985-03-08,0.68,0.25,-0.43000000000000005,1.31
1985-03-09,0.6086666666666667,0.27,-0.33866666666666667,1.31
1985-03-10,0.7176666666666667,0.24,-0.4776666666666667,1.31
1985-03-11,0.75,0.24,-0.51,1.31
1985-03-12,0.68,0.23,-0.45000000000000007,1.31
1985-03-13,0.5386666666666666,0.23,-0.30866666666666664,1.31
1985-03-14,0.47,0.22,-0.24999999999999997,1.31
1985-03-15,0.47,0.22,-0.24999999999999997,1.31
1985-03-16,0.573,0.22,-0.353,1.31
1985-03-17,0.7143333333333333,0.22,-0.4943333333333333,1.3
1985-03-18,0.9,0.22,-0.68,1.28
1985-03-19,0.7843333333333332,0.22,-0.5643333333333332,1.28
1985-03-20,0.505,0.22,-0.28500000000000003,1.27
1985-03-21,0.505,0.22,-0.28500000000000003,1.27
1985-03-22,0.505,0.21,-0.29500000000000004,1.26
1985-03-23,1.6113333333333333,0.22,-1.3913333333333333,1.23
1985-03-24,0.7843333333333332,0.22,-0.5643333333333332,1.23
1985-03-25,0.7876666666666666,0.22,-0.5676666666666667,1.22
1985-03-26,0.54,0.22,-0.32000000000000006,1.2
1985-03-27,0.54,0.21,-0.33000000000000007,1.19
1985-03-28,0.8973333333333332,0.2,-0.6973333333333331,1.19
1985-03-29,0.6416666666666666,0.2,-0.4416666666666666,1.19
1985-03-30,0.54,0.2,-0.34,1.19
1985-03-31,0.47,0.19,-0.27999999999999997,1.18
1985-04-01,0.6086666666666667,0.18,-0.4286666666666667,1.16
1985-04-02,0.4350000000000001,0.17,-0.2650000000000001,1.15
1985-04-03,0.435,0.17,-0.265,1.15
1985-04-04,0.5386666666666667,0.16,-0.3786666666666667,1.12
1985-04-05,0.6086666666666666,0.15,-0.45866666666666656,1.12
1985-04-06,0.5386666666666666,0.14,-0.3986666666666666,1.12
1985-04-07,0.47,0.14,-0.32999999999999996,1.12
1985-04-08,0.4350000000000001,0.14,-0.2950000000000001,1.12
1985-04-09,0.5036666666666667,0.14,-0.3636666666666667,1.11
1985-04-10,0.365,0.14,-0.22499999999999998,1.11
1985-04-11,0.5083333333333333,0.14,-0.3683333333333333,1.1
1985-04-12,0.4350000000000001,0.13,-0.3050000000000001,1.09
1985-04-13,0.4350000000000001,0.12,-0.3150000000000001,1.08
1985-04-14,0.365,0.12,-0.245,1.08
1985-04-15,0.3650000000000001,0.12,-0.2450000000000001,1.07
1985-04-16,2.4393333333333334,0.12,-2.3193333333333332,1.06
1985-04-17,1.1553333333333329,0.12,-1.035333333333333,1.06
1985-04-18,0.82,0.13,-0.69,1.06
1985-04-19,0.8576666666666667,0.13,-0.7276666666666667,1.05
1985-04-20,0.7143333333333334,0.13,-0.5843333333333334,1.05
1985-04-21,0.573,0.12,-0.45299999999999996,1.05
1985-04-22,0.5386666666666667,0.12,-0.41866666666666674,1.05
1985-04-23,0.573,0.12,-0.45299999999999996,1.06
1985-04-24,0.47,0.12,-0.35,1.06
1985-04-25,0.3650000000000001,0.12,-0.2450000000000001,1.07
1985-04-26,0.47,0.12,-0.35,1.08
1985-04-27,0.435,0.12,-0.315,1.08
1985-04-28,0.435,0.12,-0.315,1.09
1985-04-29,0.4,0.12,-0.28,1.09
1985-04-30,0.47,0.12,-0.35,1.09
1985-05-01,0.505,0.12,-0.385,1.09
1985-05-02,0.33,0.12,-0.21000000000000002,1.11
1985-05-03,0.3333333333333333,0.12,-0.21333333333333332,1.11
1985-05-04,0.4000000000000001,0.14,-0.26000000000000006,1.12
1985-05-05,0.365,0.14,-0.22499999999999998,1.12
1985-05-06,0.3333333333333333,0.14,-0.1933333333333333,1.12
1985-05-07,0.435,0.14,-0.295,1.12
1985-05-08,0.27,0.14,-0.13,1.14
1985-05-09,0.3016666666666667,0.14,-0.16166666666666668,1.15
1985-05-10,0.4000000000000001,0.14,-0.26000000000000006,1.15
1985-05-11,0.3016666666666667,0.14,-0.16166666666666668,1.17
1985-05-12,0.235,0.14,-0.09499999999999997,1.19
1985-05-13,0.3016666666666667,0.14,-0.16166666666666668,1.19
1985-05-14,0.3016666666666667,0.14,-0.16166666666666668,1.2
1985-05-15,0.33,0.14,-0.19,1.2
1985-05-16,0.3016666666666667,0.14,-0.16166666666666668,1.23
1985-05-17,0.3016666666666667,0.14,-0.16166666666666668,1.23
1985-05-18,0.33,0.14,-0.19,1.24
1985-05-19,0.235,0.14,-0.09499999999999997,1.24
1985-05-20,0.3016666666666667,0.14,-0.16166666666666668,1.24
1985-05-21,0.365,0.14,-0.22499999999999998,1.24
1985-05-22,0.33,0.14,-0.19,1.25
1985-05-23,0.33,0.14,-0.19,1.26
1985-05-24,0.33,0.15,-0.18000000000000002,1.26
1985-05-25,0.33,0.16,-0.17,1.26
1985-05-26,0.235,0.16,-0.07499999999999998,1.26
1985-05-27,0.26666666666666666,0.17,-0.09666666666666665,1.26
1985-05-28,0.3016666666666667,0.17,-0.13166666666666668,1.27
1985-05-29,0.26666666666666666,0.18,-0.08666666666666667,1.26
1985-05-30,0.3016666666666667,0.18,-0.1216666666666667,1.27
1985-05-31,0.235,0.19,-0.044999999999999984,1.27
1985-06-01,0.17,0.19,0.01999999999999999,1.27
1985-06-02,0.3333333333333333,0.19,-0.1433333333333333,1.27
1985-06-03,1.584,0.2,-1.3840000000000001,1.27
1985-06-04,0.972,0.19,-0.782,1.27
1985-06-05,0.6086666666666667,0.19,-0.4186666666666667,1.28
1985-06-06,0.365,0.18,-0.185,1.31
1985-06-07,0.33,0.19,-0.14,1.31
1985-06-08,0.3016666666666667,0.2,-0.10166666666666668,1.33
1985-06-09,0.27,0.2,-0.07,1.32
1985-06-10,0.3016666666666667,0.2,-0.10166666666666668,1.32
1985-06-11,0.33,0.2,-0.13,1.33
1985-06-12,0.27,0.2,-0.07,1.34
1985-06-13,0.235,0.2,-0.034999999999999976,1.35
1985-06-14,0.20000000000000004,0.2,-2.7755575615628914e-17,1.37
1985-06-15,0.235,0.19,-0.044999999999999984,1.37
1985-06-16,0.235,0.18,-0.05499999999999999,1.37
1985-06-17,0.26666666666666666,0.18,-0.08666666666666667,1.36
1985-06-18,0.235,0.18,-0.05499999999999999,1.37
1985-06-19,0.3016666666666667,0.18,-0.1216666666666667,1.38
1985-06-20,0.235,0.18,-0.05499999999999999,1.4
1985-06-21,0.17,0.17,0.0,1.42
1985-06-22,0.235,0.17,-0.06499999999999997,1.42
1985-06-23,0.20000000000000004,0.17,-0.030000000000000027,1.42
1985-06-24,0.235,0.17,-0.06499999999999997,1.41
1985-06-25,0.20000000000000004,0.17,-0.030000000000000027,1.42
1985-06-26,0.27,0.17,-0.1,1.42
1985-06-27,0.20000000000000004,0.17,-0.030000000000000027,1.42
1985-06-28,0.20000000000000004,0.17,-0.030000000000000027,1.42
1985-06-29,0.17,0.16,-0.010000000000000009,1.43
1985-06-30,0.11,0.16,0.05,1.42
1985-07-01,0.27,0.15,-0.12000000000000002,1.42
1985-07-02,0.365,0.15,-0.215,1.42
1985-07-03,0.47,0.15,-0.31999999999999995,1.42
1985-07-04,0.26666666666666666,0.15,-0.11666666666666667,1.42
1985-07-05,0.17,0.15,-0.020000000000000018,1.42
1985-07-06,0.684,0.15,-0.534,1.41
1985-07-07,0.47,0.15,-0.31999999999999995,1.39
1985-07-08,0.33,0.15,-0.18000000000000002,1.38
1985-07-09,0.3016666666666667,0.15,-0.1516666666666667,1.35
1985-07-10,0.33,0.14,-0.19,1.35
1985-07-11,0.235,0.14,-0.09499999999999997,1.35
1985-07-12,0.17,0.14,-0.03,1.35
1985-07-13,0.14,0.14,0.0,1.35
1985-07-14,0.14,0.14,0.0,1.35
1985-07-15,0.17,0.14,-0.03,1.34
1985-07-16,0.20000000000000004,0.14,-0.060000000000000026,1.32
1985-07-17,0.17,0.14,-0.03,1.31
1985-07-18,0.14,0.14,0.0,1.31
1985-07-19,0.11,0.14,0.030000000000000013,1.31
1985-07-20,0.17,0.14,-0.03,1.31
1985-07-21,0.11,0.14,0.030000000000000013,1.28
1985-07-22,0.14,0.14,0.0,1.28
1985-07-23,0.26666666666666666,0.15,-0.11666666666666667,1.27
1985-07-24,0.14,0.16,0.01999999999999999,1.27
1985-07-25,0.08,0.16,0.08,1.27
1985-07-26,0.11,0.15,0.039999999999999994,1.27
1985-07-27,0.08,0.15,0.06999999999999999,1.27
1985-07-28,0.08,0.17,0.09000000000000001,1.24
1985-07-29,0.11,0.17,0.06000000000000001,1.24
1985-07-30,0.14,0.18,0.03999999999999998,1.23
1985-07-31,0.14,0.2,0.06,1.23
1985-08-01,0.08,0.2,0.12000000000000001,1.23
1985-08-02,0.11,0.2,0.09000000000000001,1.23
1985-08-03,0.14,0.2,0.06,1.22
1985-08-04,0.08,0.2,0.12000000000000001,1.22
1985-08-05,0.08,0.2,0.12000000000000001,1.23
1985-08-06,0.08,0.2,0.12000000000000001,1.23
1985-08-07,0.08,0.2,0.12000000000000001,1.24
1985-08-08,0.08,0.2,0.12000000000000001,1.24
1985-08-09,0.020000000000000004,0.2,0.18,1.24
1985-08-10,0.020000000000000004,0.2,0.18,1.24
1985-08-11,0.020000000000000004,0.2,0.18,1.24
1985-08-12,,0.2,,1.24
1985-08-13,0.17,0.2,0.03,1.23
1985-08-14,0.05000000000000001,0.2,0.15,1.23
1985-08-15,,0.2,,1.23
1985-08-16,,0.2,,1.24
1985-08-17,0.020000000000000004,0.2,0.18,1.24
1985-08-18,,0.25,,1.24
1985-08-19,,0.28,,1.24
1985-08-20,,0.28,,1.24
1985-08-21,0.05000000000000001,0.28,0.23,1.23
1985-08-22,0.020000000000000004,0.26,0.24,1.23
1985-08-23,,0.25,,1.23
1985-08-24,,0.24,,1.23
1985-08-25,,0.22,,1.23
1985-08-26,,0.2,,1.23
1985-08-27,0.020000000000000004,0.2,0.18,1.23
1985-08-28,,0.2,,1.23
1985-08-29,,0.2,,1.23
1985-08-30,,0.2,,1.23
1985-08-31,0.2416666666666667,0.19,-0.051666666666666694,1.23
1985-09-01,1.967666666666667,0.17,-1.797666666666667,1.22
1985-09-02,1.272,0.17,-1.102,1.22
1985-09-03,1.2446666666666666,0.16,-1.0846666666666667,1.2
1985-09-04,1.0466666666666666,0.14,-0.9066666666666666,1.19
1985-09-05,0.47,0.13,-0.33999999999999997,1.18
1985-09-06,0.235,0.13,-0.10499999999999998,1.18
1985-09-07,0.17,0.11,-0.06000000000000001,1.18
1985-09-08,0.20000000000000004,0.1,-0.10000000000000003,1.17
1985-09-09,0.17,0.1,-0.07,1.17
1985-09-10,0.33,0.09,-0.24000000000000002,1.17
1985-09-11,0.08000000000000003,0.1,0.019999999999999976,1.18
1985-09-12,0.020000000000000004,0.1,0.08,1.19
1985-09-13,0.05000000000000001,0.11,0.05999999999999999,1.19
1985-09-14,0.020000000000000004,0.1,0.08,1.19
