data,q_m3s,q95,di,q50
1981-05-07,7.370999999999999,3.0,-4.370999999999999,7.94
1981-05-08,7.3177,3.16,-4.1577,7.94
1981-05-09,7.3177,3.22,-4.0977,7.94
1981-05-10,6.6952,3.38,-3.3152,7.94
1981-05-11,6.6952,3.39,-3.3051999999999997,7.94
1981-05-12,6.6952,3.42,-3.2752,7.95
1981-05-13,6.6952,3.42,-3.2752,7.96
1981-05-14,6.0936,3.42,-2.6736000000000004,7.96
1981-05-15,6.6952,3.42,-3.2752,7.97
1981-05-16,6.0936,3.54,-2.5536000000000003,7.97
1981-05-17,5.8009,3.6,-2.2009000000000003,7.97
1981-05-18,6.0936,3.6,-2.4936000000000003,7.97
1981-05-19,6.0936,3.6,-2.4936000000000003,7.97
1981-05-20,6.3917,3.6,-2.7917,7.97
1981-05-21,6.3917,3.6,-2.7917,7.96
1981-05-22,6.0936,3.6,-2.4936000000000003,7.96
1981-05-23,6.0936,3.6,-2.4936000000000003,7.96
1981-05-24,6.0936,3.6,-2.4936000000000003,7.94
1981-05-25,6.0936,3.6,-2.4936000000000003,7.94
1981-05-26,5.8009,3.6,-2.2009000000000003,7.94
1981-05-27,5.8009,3.6,-2.2009000000000003,7.94
1981-05-28,5.8009,3.6,-2.2009000000000003,7.95
1981-05-29,5.8009,3.6,-2.2009000000000003,7.95
1981-05-30,5.8009,3.6,-2.2009000000000003,7.96
1981-05-31,5.5136,3.6,-1.9136000000000002,7.96
1981-06-01,5.5136,3.6,-1.9136000000000002,7.97
1981-06-02,5.5136,3.6,-1.9136000000000002,7.97
1981-06-03,5.5136,3.59,-1.9236000000000004,8.23
1981-06-04,6.3917,3.42,-2.9717000000000002,8.26
1981-06-05,6.0936,3.42,-2.6736000000000004,8.29
1981-06-06,5.8009,3.42,-2.3809000000000005,8.52
1981-06-07,5.8009,3.42,-2.3809000000000005,8.56
1981-06-08,6.0936,3.38,-2.7136000000000005,8.56
1981-06-09,6.0936,3.37,-2.7236000000000002,8.56
1981-06-10,5.8009,3.26,-2.5409000000000006,8.56
1981-06-11,5.5136,3.16,-2.3536,8.56
1981-06-12,5.8009,3.26,-2.5409000000000006,8.56
1981-06-13,5.5136,3.31,-2.2036000000000002,8.58
1981-06-14,5.8009,3.37,-2.4309000000000003,8.58
1981-06-15,5.5136,3.38,-2.1336000000000004,8.58
1981-06-16,5.2317,3.38,-1.8517000000000001,8.58
1981-06-17,5.5136,3.38,-2.1336000000000004,8.58
1981-06-18,6.0936,3.38,-2.7136000000000005,8.58
1981-06-19,5.5136,3.38,-2.1336000000000004,8.58
1981-06-20,5.2317,3.37,-1.8617,8.58
1981-06-21,5.2317,3.31,-1.9217,8.58
1981-06-22,5.5136,3.29,-2.2236000000000002,8.58
1981-06-23,5.2317,3.26,-1.9717000000000002,8.58
1981-06-24,4.9555,3.18,-1.7754999999999996,8.58
1981-06-25,5.2317,3.16,-2.0717,8.58
1981-06-26,4.9555,3.16,-1.7954999999999997,8.6
1981-06-27,4.9555,3.16,-1.7954999999999997,8.62
1981-06-28,4.9555,3.16,-1.7954999999999997,8.62
1981-06-29,4.9555,3.16,-1.7954999999999997,8.58
1981-06-30,4.9555,3.16,-1.7954999999999997,8.58
1981-07-01,4.9555,3.16,-1.7954999999999997,8.58
1981-07-02,4.9555,3.16,-1.7954999999999997,8.58
1981-07-03,4.9555,3.16,-1.7954999999999997,8.58
1981-07-04,5.2317,3.16,-2.0717,8.58
1981-07-05,4.9555,3.16,-1.7954999999999997,8.58
1981-07-06,4.9555,3.16,-1.7954999999999997,8.56
1981-07-07,4.685,3.16,-1.5249999999999995,8.56
1981-07-08,4.4201,3.16,-1.2600999999999996,8.56
1981-07-09,4.9555,3.16,-1.7954999999999997,8.56
1981-07-10,4.685,3.16,-1.5249999999999995,8.56
1981-07-11,4.4201,3.16,-1.2600999999999996,8.56
1981-07-12,4.4201,3.16,-1.2600999999999996,8.56
1981-07-13,4.9555,3.16,-1.7954999999999997,8.56
1981-07-14,4.9555,3.11,-1.8455,8.56
1981-07-15,4.4201,3.16,-1.2600999999999996,8.42
1981-07-16,4.9555,3.16,-1.7954999999999997,8.29
1981-07-17,4.685,3.16,-1.5249999999999995,8.27
1981-07-18,4.4201,3.11,-1.3100999999999998,8.26
1981-07-19,4.4201,2.96,-1.4600999999999997,8.26
1981-07-20,4.4201,2.96,-1.4600999999999997,8.26
1981-07-21,4.4201,2.96,-1.4600999999999997,8.24
1981-07-22,4.4201,2.96,-1.4600999999999997,8.23
1981-07-23,4.4201,2.96,-1.4600999999999997,8.12
1981-07-24,4.685,2.96,-1.7249999999999996,7.97
1981-07-25,4.9555,2.96,-1.9954999999999998,7.97
1981-07-26,4.685,2.94,-1.7449999999999997,7.97
1981-07-27,4.4201,2.81,-1.6100999999999996,7.97
1981-07-28,4.1611,2.81,-1.3511000000000002,7.97
1981-07-29,4.4201,2.81,-1.6100999999999996,7.97
1981-07-30,4.4201,2.81,-1.6100999999999996,7.97
1981-07-31,4.4201,2.81,-1.6100999999999996,7.97
1981-08-01,4.4201,2.81,-1.6100999999999996,7.97
1981-08-02,4.685,2.81,-1.8749999999999996,7.97
1981-08-03,4.685,2.95,-1.7349999999999994,7.97
1981-08-04,4.4201,3.15,-1.2700999999999998,7.97
1981-08-05,4.4201,3.16,-1.2600999999999996,7.97
1981-08-06,4.4201,3.16,-1.2600999999999996,7.97
1981-08-07,4.4201,3.16,-1.2600999999999996,7.97
1981-08-08,4.1611,3.16,-1.0011,7.96
1981-08-09,4.4201,3.16,-1.2600999999999996,7.96
1981-08-10,7.3177,3.16,-4.1577,7.95
1981-08-11,6.6952,3.16,-3.5351999999999997,7.94
1981-08-12,4.9555,3.16,-1.7954999999999997,7.94
1981-08-13,4.9555,3.16,-1.7954999999999997,7.94
1981-08-14,4.9555,3.16,-1.7954999999999997,7.94
1981-08-15,4.685,3.16,-1.5249999999999995,7.94
1981-08-16,4.4201,3.16,-1.2600999999999996,7.94
1981-08-17,4.4201,3.16,-1.2600999999999996,7.94
1981-08-18,4.685,3.19,-1.4949999999999997,7.94
1981-08-19,4.9555,3.38,-1.5755,7.82
1981-08-20,4.685,3.38,-1.3049999999999997,7.79
1981-08-21,3.908,3.42,-0.488,7.79
1981-08-22,3.908,3.59,-0.31800000000000006,7.79
1981-08-23,3.908,3.6,-0.30799999999999983,7.79
1981-08-24,3.908,3.6,-0.30799999999999983,7.64
1981-08-25,3.908,3.6,-0.30799999999999983,7.63
1981-08-26,3.908,3.77,-0.1379999999999999,7.37
1981-08-27,3.908,3.77,-0.1379999999999999,7.37
1981-08-28,3.908,3.71,-0.19799999999999995,7.37
1981-08-29,3.908,3.66,-0.24799999999999978,7.32
1981-08-30,4.9555,3.66,-1.2954999999999997,7.32
1981-08-31,4.9555,3.6,-1.3554999999999997,7.32
1981-09-01,4.9555,3.6,-1.3554999999999997,7.32
1981-09-02,4.1611,3.5,-0.6611000000000002,7.32
1981-09-03,3.908,3.42,-0.488,7.32
1981-09-04,4.1611,3.42,-0.7411000000000003,7.32
1981-09-05,5.2317,3.42,-1.8117,7.32
1981-09-06,6.3917,3.42,-2.9717000000000002,7.32
1981-09-07,7.3177,3.42,-3.8977000000000004,7.32
1981-09-08,6.6952,3.42,-3.2752,7.32
1981-09-09,6.6952,3.42,-3.2752,7.32
1981-09-10,4.9555,3.42,-1.5354999999999999,7.32
1981-09-11,3.6609,3.42,-0.2408999999999999,7.32
1981-09-12,3.6609,3.42,-0.2408999999999999,7.32
1981-09-13,3.6609,3.42,-0.2408999999999999,7.32
1981-09-14,3.4199,3.42,9.999999999976694e-05,7.32
1981-09-15,3.4199,3.42,9.999999999976694e-05,7.32
1981-09-16,3.4199,3.42,9.999999999976694e-05,7.32
1981-09-17,3.4199,3.42,9.999999999976694e-05,7.64
1981-09-18,3.4199,3.42,9.999999999976694e-05,7.79
1981-09-19,3.4199,3.42,9.999999999976694e-05,7.94
1981-09-20,3.4199,3.42,9.999999999976694e-05,7.94
1981-09-21,3.4199,3.38,-0.03990000000000027,7.94
1981-09-22,3.908,3.37,-0.5379999999999998,8.2
1981-09-23,3.6609,3.37,-0.2908999999999997,8.26
1981-09-24,3.4199,3.37,-0.049900000000000055,8.56
1981-09-25,3.4199,3.37,-0.049900000000000055,8.58
1981-09-26,4.1611,3.37,-0.7911000000000001,8.58
1981-09-27,4.9555,3.38,-1.5755,8.58
1981-09-28,5.5136,3.42,-2.0936000000000003,8.58
1981-09-29,5.5136,3.42,-2.0936000000000003,8.68
1981-09-30,4.9555,3.42,-1.5354999999999999,8.7
1981-10-01,4.9555,3.42,-1.5354999999999999,8.83
1981-10-02,4.9555,3.42,-1.5354999999999999,8.95
1981-10-03,4.4201,3.42,-1.0000999999999998,8.96
1981-10-04,4.1611,3.42,-0.7411000000000003,9.03
1981-10-05,6.3917,3.42,-2.9717000000000002,9.36
1981-10-06,8.624,3.42,-5.204000000000001,9.36
1981-10-07,7.0039,3.42,-3.5839,9.36
1981-10-08,6.6952,3.42,-3.2752,9.36
1981-10-09,5.5136,3.42,-2.0936000000000003,9.38
1981-10-10,4.685,3.42,-1.2649999999999997,9.45
1981-10-11,7.0039,3.42,-3.5839,9.76
1981-10-12,7.3177,3.42,-3.8977000000000004,9.77
1981-10-13,4.9555,3.42,-1.5354999999999999,10.01
1981-10-14,5.2317,3.42,-1.8117,10.05
1981-10-15,4.685,3.42,-1.2649999999999997,10.09
1981-10-16,4.9555,3.46,-1.4954999999999998,10.09
1981-10-17,6.6952,3.59,-3.1052,10.1
