data,q_m3s,q95,di,q50
1974-02-01,630.8,130.76,-500.03999999999996,408.46
1974-02-02,627.4209999999998,131.2,-496.22099999999983,408.46
1974-02-03,536.279,131.2,-405.079,407.6
1974-02-04,492.275,130.87,-361.405,407.6
1974-02-05,523.597,130.1,-393.49699999999996,408.46
1974-02-06,523.597,130.1,-393.49699999999996,408.46
1974-02-07,486.078,130.1,-355.97799999999995,408.46
1974-02-08,449.36800000000005,130.1,-319.26800000000003,413.5
1974-02-09,437.317,129.26,-308.057,414.78
1974-02-10,407.602,129.26,-278.342,419.42
1974-02-11,395.885,129.26,-266.625,421.13
1974-02-12,413.497,127.28,-286.217,426.0
1974-02-13,378.494,127.28,-251.21400000000003,427.51
1974-02-14,372.747,127.01,-245.73700000000002,431.33
1974-02-15,361.328,123.41,-237.91799999999998,433.91
1974-02-16,367.025,123.19,-243.83499999999998,433.91
1974-02-17,413.497,122.67,-290.827,433.91
1974-02-18,517.288,122.67,-394.618,431.33
1974-02-19,1294.67,122.67,-1172.0,427.51
1974-02-20,1407.75,122.67,-1285.08,422.22
1974-02-21,804.492,122.67,-681.822,421.13
1974-02-22,694.959,122.67,-572.289,414.78
1974-02-23,581.339,122.67,-458.66900000000004,408.46
1974-02-24,555.4630000000002,122.67,-432.7930000000002,408.46
1974-02-25,654.2,122.67,-531.5300000000001,402.16
1974-02-26,756.9830000000002,122.67,-634.3130000000002,401.73
1974-02-27,681.295,122.67,-558.625,400.94
1974-02-28,561.901,122.67,-439.23099999999994,395.88
1974-03-01,467.62,122.67,-344.95,389.64
1974-03-02,401.731,122.67,-279.061,389.64
1974-03-03,361.328,122.67,-238.65799999999996,383.36
1974-03-04,327.691,122.67,-205.02099999999996,378.49
1974-03-05,305.797,122.67,-183.127,377.22
1974-03-06,300.392,122.67,-177.72199999999998,371.6
1974-03-07,327.691,122.67,-205.02099999999996,367.02
1974-03-08,378.494,122.67,-255.824,364.91
1974-03-09,395.885,122.67,-273.215,359.05
1974-03-10,401.731,123.41,-278.321,355.66
1974-03-11,378.494,126.36,-252.13400000000001,352.71
1974-03-12,344.392,126.36,-218.03199999999998,346.66
1974-03-13,344.392,126.36,-218.03199999999998,344.39
1974-03-14,333.232,126.36,-206.872,338.8
1974-03-15,367.025,125.65,-241.37499999999997,330.41
1974-03-16,344.392,123.26,-221.132,328.65
1974-03-17,322.177,122.67,-199.507,324.07
1974-03-18,390.0630000000001,122.67,-267.3930000000001,318.27
1974-03-19,511.002,122.34,-388.66200000000003,316.79
1974-03-20,594.403,121.58,-472.82300000000004,310.9
1974-03-21,640.77,118.37,-522.4,305.04
1974-03-22,523.597,115.39,-408.207,300.39
1974-03-23,437.317,115.39,-321.927,294.75
1974-03-24,395.885,115.39,-280.495,293.42
1974-03-25,361.328,115.39,-245.938,287.65
1974-03-26,367.025,115.23,-251.79499999999996,281.91
1974-03-27,322.177,113.88,-208.29700000000003,281.91
1974-03-28,305.797,112.01,-193.78700000000003,276.2
1974-03-29,300.392,111.81,-188.582,275.5
1974-03-30,300.392,108.36,-192.03199999999998,270.53
1974-03-31,295.014,108.28,-186.734,270.53
1974-04-01,258.16200000000003,108.28,-149.88200000000003,270.53
1974-04-02,247.895,107.77,-140.125,268.55
1974-04-03,227.723,104.12,-123.60300000000001,263.34
1974-04-04,217.823,101.32,-116.50300000000001,259.27
1974-04-05,227.723,101.32,-126.40300000000002,259.27
1974-04-06,258.16200000000003,101.32,-156.84200000000004,258.16
1974-04-07,263.34,101.32,-162.01999999999998,253.69
1974-04-08,258.16200000000003,101.1,-157.06200000000004,253.69
1974-04-09,237.748,99.1,-138.648,250.75
1974-04-10,217.823,97.17,-120.653,248.14
1974-04-11,237.748,94.54,-143.20799999999997,248.14
1974-04-12,237.748,94.54,-143.20799999999997,247.9
1974-04-13,232.72,94.54,-138.18,247.9
1974-04-14,212.921,94.54,-118.38099999999999,244.98
1974-04-15,208.05,94.02,-114.03000000000002,242.62
1974-04-16,188.894,94.01,-94.884,240.2
1974-04-17,188.894,93.91,-94.98400000000001,239.51
1974-04-18,179.518,91.21,-88.308,237.75
1974-04-19,170.27900000000002,91.08,-79.19900000000003,237.6
1974-04-20,161.181,90.5,-70.68100000000001,237.14
1974-04-21,161.181,90.09,-71.09100000000001,237.14
1974-04-22,152.22799999999995,89.64,-62.58799999999995,237.14
1974-04-23,152.22799999999995,87.96,-64.26799999999996,237.14
1974-04-24,152.22799999999995,87.93,-64.29799999999994,237.14
1974-04-25,152.22799999999995,87.93,-64.29799999999994,237.14
1974-04-26,170.27900000000002,87.93,-82.34900000000002,237.14
1974-04-27,198.406,87.77,-110.63600000000001,237.14
1974-04-28,188.894,87.13,-101.76400000000001,237.14
1974-04-29,184.189,85.04,-99.14899999999999,237.14
1974-04-30,179.518,83.82,-95.69800000000001,237.14
1974-05-01,170.27900000000002,82.54,-87.73900000000002,237.14
1974-05-02,147.806,82.54,-65.266,237.14
1974-05-03,152.22799999999995,82.54,-69.68799999999995,237.14
1974-05-04,143.422,82.54,-60.88199999999999,237.14
1974-05-05,134.769,82.54,-52.229,237.14
1974-05-06,134.769,82.54,-52.229,237.14
1974-05-07,134.769,82.54,-52.229,237.14
1974-05-08,126.271,82.54,-43.730999999999995,237.14
1974-05-09,126.271,82.54,-43.730999999999995,237.14
1974-05-10,122.082,82.54,-39.54199999999999,237.14
1974-05-11,117.934,82.54,-35.39399999999999,237.14
1974-05-12,113.827,82.54,-31.286999999999992,237.14
1974-05-13,113.827,83.82,-30.007000000000005,237.75
1974-05-14,109.762,84.88,-24.882000000000005,239.51
1974-05-15,109.762,86.29,-23.471999999999994,240.2
1974-05-16,109.762,87.93,-21.831999999999994,246.96
1974-05-17,109.762,87.93,-21.831999999999994,248.14
1974-05-18,105.74,87.93,-17.809999999999988,248.14
1974-05-19,105.74,87.93,-17.809999999999988,253.5
1974-05-20,170.27900000000002,89.66,-80.61900000000003,253.69
1974-05-21,247.895,87.93,-159.965,253.69
1974-05-22,247.895,87.93,-159.965,259.27
1974-05-23,237.748,87.93,-149.81799999999998,261.75
1974-05-24,203.212,87.93,-115.28199999999998,268.55
1974-05-25,170.27900000000002,87.93,-82.34900000000002,270.53
1974-05-26,152.22799999999995,87.93,-64.29799999999994,270.53
1974-05-27,156.686,87.93,-68.756,275.5
1974-05-28,170.27900000000002,87.93,-82.34900000000002,281.4
1974-05-29,179.518,87.93,-91.588,281.91
1974-05-30,208.05,89.66,-118.39000000000001,293.42
1974-05-31,198.406,90.09,-108.316,293.42
1974-06-01,184.189,90.7,-93.48899999999999,299.21
1974-06-02,161.181,91.12,-70.061,299.21
1974-06-03,152.22799999999995,91.21,-61.01799999999996,300.25
1974-06-04,152.22799999999995,91.21,-61.01799999999996,301.99
1974-06-05,143.422,91.21,-52.212,305.04
1974-06-06,126.271,94.44,-31.831000000000003,305.04
1974-06-07,117.934,94.54,-23.39399999999999,305.8
1974-06-08,143.422,94.54,-48.88199999999999,310.9
1974-06-09,425.359,94.54,-330.81899999999996,310.9
1974-06-10,473.75,94.54,-379.21,310.9
1974-06-11,498.495,94.54,-403.955,310.9
1974-06-12,523.597,94.54,-429.05699999999996,315.5
1974-06-13,784.018,94.54,-689.4780000000001,316.79
1974-06-14,614.153,94.02,-520.133,316.79
1974-06-15,473.75,91.21,-382.54,322.7
1974-06-16,395.885,91.21,-304.675,328.65
1974-06-17,247.895,91.21,-156.685,328.65
1974-06-18,279.04900000000004,91.21,-187.83900000000006,328.65
1974-06-19,268.548,94.44,-174.108,328.65
1974-06-20,268.548,94.54,-174.00799999999998,328.65
1974-06-21,242.807,100.46,-142.34699999999998,328.65
1974-06-22,217.823,101.32,-116.50300000000001,328.65
1974-06-23,208.05,104.77,-103.28000000000002,328.65
1974-06-24,208.05,108.28,-99.77000000000001,328.65
1974-06-25,232.72,108.28,-124.44,327.69
1974-06-26,1018.15,108.36,-909.79,322.7
1974-06-27,2729.58,108.36,-2621.22,322.7
1974-06-28,2490.68,108.36,-2382.3199999999997,322.7
1974-06-29,1415.94,108.36,-1307.5800000000002,318.27
1974-06-30,966.881,108.36,-858.521,316.79
1974-07-01,681.295,109.76,-571.535,316.79
1974-07-02,561.901,113.42,-448.48099999999994,316.69
1974-07-03,473.75,115.39,-358.36,312.49
1974-07-04,413.497,115.39,-298.107,315.05
1974-07-05,390.0630000000001,115.39,-274.6730000000001,316.79
1974-07-06,361.328,115.39,-245.938,316.79
1974-07-07,327.691,115.39,-212.301,316.79
1974-07-08,305.797,115.39,-190.40700000000004,316.79
1974-07-09,289.664,113.83,-175.834,312.49
1974-07-10,268.548,113.83,-154.71800000000002,310.9
1974-07-11,258.16200000000003,111.81,-146.35200000000003,306.73
1974-07-12,247.895,110.2,-137.695,305.04
1974-07-13,247.895,110.11,-137.78500000000003,305.04
1974-07-14,237.748,109.49,-128.25799999999998,305.04
1974-07-15,222.758,108.38,-114.37800000000001,303.4
1974-07-16,208.05,108.28,-99.77000000000001,299.21
1974-07-17,208.05,108.28,-99.77000000000001,293.42
1974-07-18,203.212,108.28,-94.93199999999999,289.25
1974-07-19,198.406,108.28,-90.126,281.91
1974-07-20,198.406,108.28,-90.126,281.63
1974-07-21,198.406,108.28,-90.126,276.2
1974-07-22,193.633,108.28,-85.35300000000001,273.78
1974-07-23,193.633,108.28,-85.35300000000001,270.53
1974-07-24,188.894,108.28,-80.614,270.53
1974-07-25,184.189,107.77,-76.419,270.53
1974-07-26,184.189,107.77,-76.419,267.25
1974-07-27,193.633,105.74,-87.89300000000001,264.88
1974-07-28,188.894,105.74,-83.15400000000001,261.52
1974-07-29,188.894,105.74,-83.15400000000001,259.27
1974-07-30,188.894,107.77,-81.12400000000001,259.27
1974-07-31,188.894,107.77,-81.12400000000001,259.27
1974-08-01,184.189,105.74,-78.449,259.27
1974-08-02,174.88099999999997,105.74,-69.14099999999998,259.27
1974-08-03,170.27900000000002,105.74,-64.53900000000003,259.27
1974-08-04,165.71200000000005,105.74,-59.97200000000005,255.98
1974-08-05,161.181,105.74,-55.44100000000002,253.5
1974-08-06,156.686,105.74,-50.94600000000001,248.14
1974-08-07,152.22799999999995,105.55,-46.677999999999955,248.14
1974-08-08,152.22799999999995,104.42,-47.80799999999995,248.14
