data,q_m3s,q95,di,q50
1981-05-27,21.3,13.08,-8.22,64.47
1981-05-28,19.2497,13.21,-6.0397,65.91
1981-05-29,18.4349,13.6,-4.834899999999999,65.91
1981-05-30,20.0805,13.64,-6.4405,66.64
1981-05-31,21.79,13.83,-7.959999999999999,67.15
1981-06-01,20.0805,13.7,-6.380500000000001,67.57
1981-06-02,16.8537,13.6,-3.2537000000000003,68.57
1981-06-03,16.0874,13.6,-2.487399999999999,68.26
1981-06-04,16.8537,13.6,-3.2537000000000003,68.82
1981-06-05,22.6686,13.6,-9.068600000000002,69.49
1981-06-06,23.563,13.6,-9.963,70.83
1981-06-07,19.2497,13.6,-5.649700000000001,71.46
1981-06-08,21.79,13.6,-8.19,71.46
1981-06-09,23.563,13.6,-9.963,71.63
1981-06-10,27.2975,13.6,-13.6975,71.79
1981-06-11,22.6686,13.6,-9.068600000000002,72.26
1981-06-12,18.4349,13.82,-4.614899999999999,72.74
1981-06-13,22.6686,13.88,-8.7886,73.11
1981-06-14,20.0805,14.12,-5.9605000000000015,73.5
1981-06-15,18.4349,14.38,-4.054899999999998,73.11
1981-06-16,18.4349,14.65,-3.7848999999999986,72.93
1981-06-17,29.2583,15.33,-13.928299999999998,72.93
1981-06-18,44.6951,15.73,-28.965099999999996,72.94
1981-06-19,37.7159,15.78,-21.935899999999997,72.93
1981-06-20,38.8416,16.47,-22.3716,72.93
1981-06-21,37.7159,17.24,-20.4759,72.26
1981-06-22,30.2618,17.24,-13.021800000000002,71.46
1981-06-23,25.3989,17.99,-7.408900000000003,71.36
1981-06-24,24.4731,18.43,-6.043099999999999,70.57
1981-06-25,348.129,18.43,-329.699,70.15
1981-06-26,439.747,18.43,-421.317,70.01
1981-06-27,245.331,18.74,-226.59099999999998,70.01
1981-06-28,134.84,18.76,-116.08,70.01
1981-06-29,92.4808,18.76,-73.7208,69.42
1981-06-30,70.2984,18.76,-51.538399999999996,68.82
1981-07-01,44.6951,18.76,-25.935099999999995,67.96
1981-07-02,37.7159,19.2,-18.5159,67.19
1981-07-03,43.4945,19.25,-24.244500000000002,66.53
1981-07-04,37.7159,19.2,-18.5159,65.91
1981-07-05,34.4298,19.2,-15.229800000000001,65.91
1981-07-06,31.2808,19.2,-12.0808,65.73
1981-07-07,29.2583,19.18,-10.078299999999999,65.44
1981-07-08,27.2975,18.76,-8.537499999999998,64.34
1981-07-09,25.3989,18.76,-6.6389,64.34
1981-07-10,23.563,18.5,-5.062999999999999,64.27
1981-07-11,23.563,18.43,-5.132999999999999,63.71
1981-07-12,23.563,18.43,-5.132999999999999,62.96
1981-07-13,23.563,18.43,-5.132999999999999,62.58
1981-07-14,25.3989,18.41,-6.988900000000001,61.4
1981-07-15,25.3989,17.8,-7.5989,60.25
1981-07-16,23.563,17.64,-5.922999999999998,60.24
1981-07-17,23.563,17.24,-6.323,58.9
1981-07-18,21.79,17.24,-4.550000000000001,58.88
1981-07-19,20.0805,17.1,-2.9804999999999993,57.57
1981-07-20,20.0805,17.09,-2.990500000000001,56.26
1981-07-21,19.2497,16.85,-2.3996999999999993,56.26
1981-07-22,18.4349,16.85,-1.5848999999999975,56.21
1981-07-23,18.4349,16.85,-1.5848999999999975,56.07
1981-07-24,18.4349,16.85,-1.5848999999999975,55.51
1981-07-25,17.6362,16.5,-1.1361999999999988,54.83
1981-07-26,16.8537,16.4,-0.4537000000000013,54.6
1981-07-27,16.8537,16.4,-0.4537000000000013,53.68
1981-07-28,16.8537,16.4,-0.4537000000000013,53.51
1981-07-29,15.3374,15.78,0.44259999999999877,52.27
1981-07-30,14.6037,15.73,1.1263000000000005,52.21
1981-07-31,14.6037,15.71,1.106300000000001,51.16
1981-08-01,14.6037,15.34,0.7363,51.16
1981-08-02,15.3374,15.34,0.0025999999999992696,51.1
1981-08-03,15.3374,15.34,0.0025999999999992696,49.65
1981-08-04,14.6037,15.34,0.7363,48.7
1981-08-05,13.8865,15.34,1.4535,48.39
1981-08-06,12.5016,14.74,2.2384000000000004,47.14
1981-08-07,11.8342,14.65,2.815800000000001,46.29
1981-08-08,12.5016,14.6,2.0984,45.2
1981-08-09,15.3374,14.6,-0.7374000000000009,44.7
1981-08-10,23.563,14.6,-8.963,43.94
1981-08-11,31.2808,14.59,-16.6908,43.49
1981-08-12,28.2701,14.38,-13.890099999999999,42.31
1981-08-13,20.9273,14.11,-6.8172999999999995,41.83
1981-08-14,19.2497,13.89,-5.3597,41.65
1981-08-15,16.8537,13.89,-2.9636999999999993,41.14
1981-08-16,15.3374,13.72,-1.6174,39.98
1981-08-17,14.6037,13.22,-1.3836999999999993,39.9
1981-08-18,13.8865,13.19,-0.6965000000000003,39.42
1981-08-19,12.5016,13.08,0.5784000000000002,39.35
1981-08-20,13.8865,13.05,-0.8364999999999991,38.29
1981-08-21,13.1858,13.05,-0.1357999999999997,37.71
1981-08-22,12.5016,13.05,0.5484000000000009,37.25
1981-08-23,11.1834,13.05,1.8666,36.9
1981-08-24,11.1834,13.05,1.8666,36.54
1981-08-25,10.5495,13.05,2.5005000000000006,36.05
1981-08-26,9.9325,12.87,2.9375,35.51
1981-08-27,9.9325,12.87,2.9375,35.51
1981-08-28,9.9325,12.87,2.9375,35.13
1981-08-29,9.9325,12.87,2.9375,34.79
1981-08-30,9.3325,12.7,3.3674999999999997,34.1
1981-08-31,9.3325,12.5,3.1675000000000004,33.85
1981-09-01,8.7495,12.5,3.7505000000000006,33.4
1981-09-02,8.7495,12.4,3.650500000000001,33.22
1981-09-03,8.7495,12.19,3.4405,33.07
1981-09-04,8.1838,11.77,3.5862,33.07
1981-09-05,8.7495,11.77,3.0205,32.91
1981-09-06,8.7495,11.77,3.0205,32.32
1981-09-07,8.1838,11.77,3.5862,32.32
1981-09-08,7.6354,11.77,4.1346,32.32
1981-09-09,6.5908,11.77,5.1792,32.32
1981-09-10,6.5908,11.77,5.1792,32.91
1981-09-11,6.5908,11.77,5.1792,33.08
1981-09-12,6.5908,11.77,5.1792,33.36
1981-09-13,6.5908,11.77,5.1792,33.44
1981-09-14,8.7495,11.77,3.0205,33.9
1981-09-15,11.1834,11.77,0.5865999999999989,34.88
1981-09-16,10.5495,11.77,1.2204999999999995,35.13
1981-09-17,10.5495,11.77,1.2204999999999995,35.5
1981-09-18,8.7495,11.3,2.5505000000000013,35.51
1981-09-19,5.6167,11.3,5.683300000000001,36.33
1981-09-20,5.6167,11.18,5.5633,36.9
1981-09-21,6.0949,11.18,5.0851,37.61
1981-09-22,7.6354,11.0,3.3646000000000003,38.55
1981-09-23,23.563,11.0,-12.562999999999999,39.44
1981-09-24,25.3989,11.0,-14.398900000000001,40.22
1981-09-25,21.79,11.0,-10.79,41.3
1981-09-26,18.4349,10.99,-7.444899999999999,42.2
1981-09-27,16.8537,10.84,-6.0137,43.72
1981-09-28,18.4349,10.84,-7.594899999999999,46.38
1981-09-29,18.4349,10.84,-7.594899999999999,49.65
1981-09-30,16.0874,10.83,-5.257399999999999,53.56
1981-10-01,13.8865,10.55,-3.336499999999999,54.96
1981-10-02,11.8342,10.55,-1.2841999999999985,58.9
1981-10-03,9.9325,10.53,0.5975000000000001,61.25
