data,q_m3s,q95,di,q50
1965-08-13,141.45,30.17,-111.27999999999999,100.19
1965-08-14,144.665,30.17,-114.49499999999999,98.39
1965-08-15,140.859,30.17,-110.68900000000001,96.61
1965-08-16,160.058,30.17,-129.88799999999998,96.61
1965-08-17,205.659,30.17,-175.48899999999998,96.61
1965-08-18,179.65,30.17,-149.48000000000002,94.83
1965-08-19,167.84900000000005,30.17,-137.67900000000003,94.0
1965-08-20,158.12,30.17,-127.95,93.05
1965-08-21,156.186,30.17,-126.016,93.05
1965-08-22,156.186,30.17,-126.016,93.05
1965-08-23,156.186,30.17,-126.016,93.05
1965-08-24,154.255,30.78,-123.475,92.9
1965-08-25,144.665,31.27,-113.395,91.28
1965-08-26,142.76,31.27,-111.49,89.52
1965-08-27,140.859,31.27,-109.58900000000001,89.52
1965-08-28,137.069,31.27,-105.79899999999999,89.52
1965-08-29,129.541,31.27,-98.271,89.52
1965-08-30,125.805,31.27,-94.53500000000001,87.76
1965-08-31,120.234,31.27,-88.964,87.76
1965-09-01,116.544,31.27,-85.274,87.76
1965-09-02,112.874,31.27,-81.604,87.76
1965-09-03,109.223,31.27,-77.953,87.76
1965-09-04,105.592,31.27,-74.322,87.76
1965-09-05,101.982,31.27,-70.712,87.76
1965-09-06,96.6075,30.99,-65.6175,87.76
1965-09-07,93.0516,30.99,-62.0616,87.76
1965-09-08,89.5181,30.99,-58.52810000000001,89.34
1965-09-09,87.76,30.17,-57.59,89.52
1965-09-10,86.0077,31.27,-54.737700000000004,89.52
1965-09-11,86.0077,31.27,-54.737700000000004,89.52
1965-09-12,103.785,31.27,-72.515,89.52
1965-09-13,112.874,31.27,-81.604,89.52
1965-09-14,93.0516,31.27,-61.7816,91.28
1965-09-15,93.0516,31.27,-61.7816,92.98
1965-09-16,89.5181,31.27,-58.24810000000001,93.05
1965-09-17,87.76,32.39,-55.370000000000005,93.05
1965-09-18,91.282,32.39,-58.891999999999996,96.61
1965-09-19,89.5181,31.27,-58.24810000000001,98.39
1965-09-20,86.0077,31.27,-54.737700000000004,100.19
1965-09-21,79.0588,31.27,-47.78880000000001,101.67
1965-09-22,75.6216,31.27,-44.351600000000005,103.78
1965-09-23,72.2103,31.27,-40.94030000000001,103.78
1965-09-24,70.5146,31.27,-39.244600000000005,106.5
1965-09-25,68.8256,31.27,-37.5556,110.92
1965-09-26,68.8256,31.27,-37.5556,114.71
1965-09-27,86.0077,30.17,-55.8377,118.39
1965-09-28,201.62,30.17,-171.45,120.49
1965-09-29,274.103,30.17,-243.933,124.65
1965-09-30,207.683,30.17,-177.51299999999998,129.54
1965-10-01,201.62,30.17,-171.45,133.8
1965-10-02,879.7339999999998,30.17,-849.5639999999999,138.48
1965-10-03,2347.87,30.17,-2317.7,143.26
1965-10-04,874.512,30.17,-844.342,148.49
1965-10-05,580.6990000000002,30.17,-550.5290000000002,152.33
1965-10-06,415.0,30.17,-384.83,156.98
1965-10-07,304.074,30.17,-273.904,160.06
1965-10-08,265.636,30.17,-235.466,160.06
1965-10-09,259.316,30.17,-229.14599999999996,162.0
1965-10-10,234.294,30.17,-204.12400000000002,163.95
1965-10-11,232.229,30.17,-202.05900000000003,163.95
1965-10-12,327.976,30.17,-297.806,165.9
1965-10-13,321.427,30.17,-291.257,167.85
1965-10-14,263.527,30.17,-233.35699999999997,167.85
1965-10-15,226.05,30.17,-195.88,167.85
1965-10-16,197.594,30.17,-167.42399999999998,167.85
1965-10-17,181.629,30.17,-151.459,169.81
1965-10-18,169.80700000000004,30.17,-139.63700000000006,171.77
1965-10-19,162.0,30.17,-131.82999999999998,171.77
1965-10-20,193.582,31.27,-162.31199999999998,171.77
1965-10-21,226.05,32.39,-193.66000000000003,171.77
1965-10-22,207.683,32.39,-175.293,171.77
1965-10-23,197.594,32.39,-165.204,171.77
1965-10-24,238.435,33.41,-205.025,171.77
1965-10-25,242.588,33.88,-208.708,170.79
1965-10-26,271.982,34.71,-237.27200000000002,168.45
1965-10-27,310.563,34.71,-275.853,167.85
1965-10-28,269.86400000000003,34.71,-235.15400000000002,167.85
1965-10-29,236.363,35.23,-201.133,167.3
1965-10-30,291.166,36.84,-254.326,165.9
1965-10-31,440.138,37.13,-403.008,163.95
1965-11-01,336.741,37.13,-299.611,163.95
1965-11-02,280.481,38.35,-242.131,162.0
1965-11-03,253.021,39.05,-213.971,160.06
1965-11-04,234.294,39.56,-194.734,160.06
1965-11-05,207.683,39.66,-168.023,157.84
1965-11-06,193.582,39.66,-153.922,156.19
1965-11-07,205.659,39.66,-165.999,154.26
1965-11-08,211.742,39.64,-172.10199999999998,152.33
1965-11-09,201.62,39.4,-162.22,150.41
1965-11-10,197.594,38.38,-159.214,148.49
1965-11-11,195.586,37.13,-158.45600000000002,146.57
1965-11-12,185.599,37.13,-148.469,144.66
1965-11-13,175.702,37.08,-138.622,144.66
1965-11-14,321.427,36.94,-284.487,140.86
1965-11-15,810.312,36.9,-773.412,139.06
1965-11-16,1177.49,36.2,-1141.29,137.07
1965-11-17,711.826,34.94,-676.886,135.18
1965-11-18,535.187,34.71,-500.47700000000003,132.36
1965-11-19,408.187,33.49,-374.697,129.54
1965-11-20,280.481,32.39,-248.091,128.24
1965-11-21,219.899,32.39,-187.50900000000001,125.8
1965-11-22,211.742,32.27,-179.47199999999998,125.8
1965-11-23,199.605,31.29,-168.315,125.8
1965-11-24,197.594,30.31,-167.284,123.94
1965-11-25,181.629,30.17,-151.459,123.94
1965-11-26,165.896,30.17,-135.726,122.09
1965-11-27,160.058,29.1,-130.958,122.09
1965-11-28,158.12,29.1,-129.02,120.23
1965-11-29,152.329,29.1,-123.22900000000001,120.23
1965-11-30,144.665,29.1,-115.565,119.18
1965-12-01,133.296,29.1,-104.196,118.39
1965-12-02,127.671,29.1,-98.571,116.54
1965-12-03,122.087,29.1,-92.987,116.54
1965-12-04,129.541,29.1,-100.441,116.54
1965-12-05,152.329,29.1,-123.22900000000001,116.54
1965-12-06,199.605,29.1,-170.505,116.54
1965-12-07,211.742,29.1,-182.642,116.54
1965-12-08,177.674,29.1,-148.574,116.54
1965-12-09,203.637,29.1,-174.537,116.54
1965-12-10,282.613,29.1,-253.513,116.54
1965-12-11,179.65,30.17,-149.48000000000002,116.92
1965-12-12,154.255,30.17,-124.085,116.92
1965-12-13,203.637,30.17,-173.46699999999998,117.6
1965-12-14,314.901,31.27,-283.63100000000003,118.14
1965-12-15,269.86400000000003,32.39,-237.47400000000005,118.39
1965-12-16,250.928,33.54,-217.388,118.39
1965-12-17,207.683,35.61,-172.07299999999998,119.65
1965-12-18,195.586,35.91,-159.67600000000002,120.23
1965-12-19,167.84900000000005,36.7,-131.14900000000006,120.23
1965-12-20,158.12,37.13,-120.99000000000001,122.09
1965-12-21,183.613,38.38,-145.233,122.09
1965-12-22,248.83900000000003,38.38,-210.45900000000003,122.09
1965-12-23,257.215,39.22,-217.99499999999998,122.09
1965-12-24,223.996,39.66,-184.336,122.09
1965-12-25,193.582,39.66,-153.922,122.09
1965-12-26,175.702,41.28,-134.422,125.8
1965-12-27,181.629,41.28,-140.349,125.8
