data,q_m3s,q95,di,q50
1930-05-15,42.425,6.22,-36.205,16.9
1930-05-16,17.1777,6.22,-10.957700000000003,16.9
1930-05-17,20.555,6.22,-14.335,16.9
1930-05-18,24.2383,6.22,-18.0183,16.9
1930-05-19,22.3584,6.22,-16.1384,16.9
1930-05-20,15.6035,6.22,-9.383500000000002,16.9
1930-05-21,15.6035,6.22,-9.383500000000002,16.9
1930-05-22,14.8451,6.22,-8.6251,16.91
1930-05-23,14.8451,6.22,-8.6251,16.91
1930-05-24,14.8451,6.22,-8.6251,16.91
1930-05-25,14.8451,6.22,-8.6251,16.91
1930-05-26,14.8451,6.22,-8.6251,16.91
1930-05-27,14.8451,6.61,-8.2351,16.91
1930-05-28,13.3853,6.68,-6.705300000000001,16.91
1930-05-29,13.3853,6.71,-6.675300000000001,16.91
1930-05-30,14.8451,6.72,-8.1251,16.91
1930-05-31,14.8451,6.72,-8.1251,16.91
1930-06-01,14.8451,6.72,-8.1251,17.18
1930-06-02,13.3853,6.72,-6.665300000000001,17.18
1930-06-03,14.8451,6.72,-8.1251,17.18
1930-06-04,14.8451,6.72,-8.1251,17.18
1930-06-05,14.8451,6.72,-8.1251,17.18
1930-06-06,14.8451,6.72,-8.1251,17.18
1930-06-07,14.8451,6.72,-8.1251,17.18
1930-06-08,14.1057,6.72,-7.385700000000001,17.18
1930-06-09,13.3853,6.72,-6.665300000000001,17.18
1930-06-10,14.8451,6.72,-8.1251,16.91
1930-06-11,12.684,6.72,-5.9639999999999995,16.91
1930-06-12,12.684,6.72,-5.9639999999999995,17.18
1930-06-13,11.3385,6.72,-4.6185,17.18
1930-06-14,11.3385,6.72,-4.6185,17.18
1930-06-15,12.684,6.72,-5.9639999999999995,17.18
1930-06-16,14.8451,6.72,-8.1251,17.18
1930-06-17,17.9934,6.72,-11.273400000000002,17.18
1930-06-18,15.6035,6.72,-8.883500000000002,17.18
1930-06-19,11.3385,6.72,-4.6185,17.18
1930-06-20,11.3385,6.72,-4.6185,17.18
1930-06-21,10.6942,6.72,-3.9742000000000006,17.58
1930-06-22,10.6942,6.72,-3.9742000000000006,17.67
1930-06-23,10.069,6.72,-3.349000000000001,17.67
1930-06-24,10.069,6.72,-3.349000000000001,17.67
1930-06-25,10.069,6.72,-3.349000000000001,17.67
1930-06-26,10.069,6.72,-3.349000000000001,17.67
1930-06-27,10.069,6.72,-3.349000000000001,17.77
1930-06-28,10.069,6.72,-3.349000000000001,17.99
1930-06-29,10.069,6.72,-3.349000000000001,17.99
1930-06-30,10.069,6.72,-3.349000000000001,17.99
1930-07-01,10.069,6.72,-3.349000000000001,18.24
1930-07-02,10.069,6.72,-3.349000000000001,18.24
1930-07-03,10.069,6.72,-3.349000000000001,18.24
1930-07-04,10.069,6.72,-3.349000000000001,18.24
1930-07-05,10.6942,6.72,-3.9742000000000006,18.24
1930-07-06,18.8282,6.72,-12.1082,18.24
1930-07-07,47.2568,6.72,-40.5368,18.24
1930-07-08,39.5443,6.72,-32.8243,18.24
1930-07-09,28.2278,6.72,-21.5078,18.39
1930-07-10,18.8282,6.72,-12.1082,18.47
1930-07-11,16.3811,6.72,-9.661100000000001,18.47
1930-07-12,15.6035,6.72,-8.883500000000002,18.47
1930-07-13,15.6035,6.72,-8.883500000000002,18.47
1930-07-14,16.3811,6.72,-9.661100000000001,18.47
1930-07-15,18.8282,6.72,-12.1082,18.47
1930-07-16,20.555,6.72,-13.835,18.47
1930-07-17,17.1777,6.72,-10.457700000000003,18.24
1930-07-18,13.3853,6.72,-6.665300000000001,18.24
1930-07-19,12.684,6.72,-5.9639999999999995,18.24
1930-07-20,12.684,6.22,-6.4639999999999995,18.24
1930-07-21,11.3385,6.22,-5.1185,18.24
