dia_juliano,mes,dia,q95,q90,q85,q80,q75,q70,q65,q60,q55,q50
1,1,1,112.3,132.84,156.86,178.95,201.69,225.31,251.99,276.52,298.41,327.1
2,1,2,112.3,132.84,156.86,178.95,201.69,225.11,251.99,276.52,298.41,327.1
3,1,3,112.3,132.84,159.23,178.95,201.69,226.29,254.61,276.52,298.41,327.1
4,1,4,114.2,135.47,159.58,180.28,203.18,228.0,255.03,276.52,298.41,327.1
5,1,5,114.83,135.47,159.58,181.76,204.58,228.0,255.86,279.62,299.5,327.1
6,1,6,114.83,135.49,162.32,181.76,204.58,230.97,258.08,279.62,301.57,327.1
7,1,7,114.83,138.1,162.32,181.76,204.58,230.97,258.08,279.62,301.57,328.96
8,1,8,116.22,138.1,165.07,184.58,206.61,233.62,258.08,282.74,304.73,330.32
9,1,9,114.83,140.75,165.07,184.58,207.47,233.95,258.54,282.74,307.82,333.56
10,1,10,114.83,140.75,165.07,186.09,210.38,234.12,261.13,285.86,307.9,336.73
11,1,11,114.83,143.17,165.07,187.41,210.38,236.93,261.13,285.86,311.08,336.8
12,1,12,117.36,143.4,167.82,187.41,213.29,236.93,264.19,288.98,311.08,339.86
13,1,13,117.36,146.07,168.99,190.24,216.22,239.81,267.26,289.4,315.26,340.04
14,1,14,117.36,146.07,170.59,193.09,216.22,241.24,267.26,292.77,317.47,342.02
15,1,15,117.36,146.07,170.59,193.09,216.92,242.93,269.38,295.26,318.18,343.53
16,1,16,117.36,146.07,170.59,193.09,219.15,245.94,270.34,295.26,320.67,346.56
17,1,17,117.36,146.07,172.72,195.95,222.09,245.94,273.43,298.16,320.67,353.1
18,1,18,117.36,148.75,173.37,195.95,225.04,248.96,273.43,298.41,325.94,356.38
19,1,19,117.36,148.75,173.37,198.82,225.04,248.96,276.52,301.57,327.1,359.49
20,1,20,119.91,151.44,173.37,201.69,228.0,251.99,276.52,304.73,332.56,359.67
21,1,21,122.47,151.44,176.15,201.69,229.96,255.03,279.62,307.9,336.8,362.97
22,1,22,122.47,154.15,176.15,204.58,230.97,258.08,282.74,307.9,340.04,366.27
23,1,23,125.05,154.15,178.95,206.78,233.95,261.13,282.74,311.08,343.3,370.84
24,1,24,126.99,156.86,181.76,207.47,236.71,261.42,285.86,315.68,343.53,372.9
25,1,25,127.64,156.86,181.76,210.38,239.19,264.19,285.86,317.47,346.56,374.26
26,1,26,128.0,159.58,183.65,213.29,239.93,264.19,288.98,318.35,346.56,374.51
27,1,27,130.23,159.58,184.58,214.57,239.93,267.26,292.12,318.53,346.56,374.26
28,1,28,130.23,159.58,184.58,216.22,242.91,267.26,292.12,318.35,343.53,372.9
29,1,29,130.23,159.58,187.41,216.92,243.41,269.29,292.12,318.35,343.41,372.9
30,1,30,130.76,159.58,187.41,219.15,245.94,270.34,292.12,318.35,343.3,372.9
31,1,31,130.76,159.58,187.41,219.15,245.94,270.34,292.12,320.2,343.3,372.9
32,2,1,130.23,160.81,187.41,219.15,245.94,270.34,295.26,320.67,343.3,372.9
33,2,2,130.23,160.81,187.41,219.44,245.94,270.34,295.26,320.67,346.56,374.26
34,2,3,130.23,159.58,187.41,219.44,245.94,270.34,295.26,320.67,346.56,375.42
35,2,4,130.23,159.58,187.41,221.75,245.94,270.34,296.28,323.88,349.83,376.22
36,2,5,130.23,159.58,184.58,222.09,245.94,270.34,297.33,326.88,350.37,379.01
37,2,6,130.23,159.58,187.41,222.09,245.94,270.34,298.41,327.1,353.1,379.56
38,2,7,130.23,156.86,187.41,222.09,248.96,273.43,298.41,327.1,353.1,381.86
39,2,8,130.23,156.86,187.41,222.09,248.96,273.43,299.51,327.1,353.1,382.89
40,2,9,130.23,156.86,190.24,223.62,251.99,276.04,301.57,327.1,353.1,384.02
41,2,10,130.23,156.86,191.18,225.04,251.99,276.52,304.28,329.0,356.38,386.24
42,2,11,130.23,159.31,193.09,226.96,255.03,276.52,306.24,330.32,357.18,391.42
43,2,12,131.73,159.58,193.09,228.0,255.06,279.62,307.9,332.56,359.67,392.94
44,2,13,132.84,162.18,194.09,230.97,258.08,279.62,307.9,333.56,359.67,392.94
45,2,14,132.84,162.32,195.95,233.95,258.08,282.74,307.9,333.56,361.18,396.31
46,2,15,133.6,162.32,198.82,233.95,261.13,282.74,311.08,336.8,363.02,396.31
47,2,16,135.47,164.97,199.14,236.93,261.13,282.96,311.72,338.52,366.27,397.24
48,2,17,138.1,165.07,201.69,236.93,262.04,285.86,314.27,340.04,366.32,399.68
49,2,18,138.1,165.07,201.69,239.87,264.19,285.86,314.27,340.04,369.58,400.14
50,2,19,138.1,165.07,201.69,239.87,264.19,285.86,314.27,340.04,369.58,403.06
51,2,20,138.1,165.07,201.69,238.75,264.19,285.86,314.27,340.04,372.9,406.44
52,2,21,138.1,165.07,203.1,238.75,264.19,285.86,314.27,340.04,372.9,406.44
53,2,22,138.1,165.07,203.1,237.52,264.19,285.86,314.83,340.04,374.26,406.44
54,2,23,138.1,165.07,202.18,236.93,262.04,285.86,317.47,340.04,374.32,408.63
55,2,24,138.1,165.07,201.69,236.93,262.04,285.86,317.47,341.99,376.22,409.83
56,2,25,138.1,165.07,201.69,235.66,261.13,285.86,317.47,343.3,377.74,412.65
57,2,26,138.1,167.73,201.69,236.75,261.13,285.86,318.35,343.3,379.56,416.63
