data,vazao,q95,di,q50
1930-05-23,127.635,85.15,-42.485,233.95
1930-05-24,117.363,85.24,-32.123000000000005,233.95
1930-05-25,107.295,85.44,-21.855000000000004,233.95
1930-05-26,102.34,85.44,-16.900000000000006,236.93
1930-05-27,99.8834,85.44,-14.443399999999997,239.56
1930-05-28,97.4404,86.62,-10.820399999999992,239.93
1930-05-29,92.5968,87.8,-4.796800000000005,243.19
1930-05-30,92.5968,87.81,-4.7867999999999995,245.94
1930-05-31,97.4404,87.81,-9.630399999999995,248.96
1930-06-01,102.34,87.81,-14.530000000000001,251.99
1930-06-02,104.811,87.81,-17.001000000000005,255.03
1930-06-03,102.34,87.81,-14.530000000000001,258.08
1930-06-04,107.295,89.84,-17.455,263.01
1930-06-05,102.34,90.2,-12.14,264.89
1930-06-06,97.4404,90.2,-7.240399999999994,270.34
1930-06-07,95.0115,90.2,-4.811499999999995,274.53
1930-06-08,92.5968,90.2,-2.396799999999999,280.4
1930-06-09,90.1965,90.2,0.003500000000002501,283.97
1930-06-10,90.1965,90.2,0.003500000000002501,292.12
1930-06-11,87.8109,90.2,2.389099999999999,295.26
1930-06-12,85.4402,90.2,4.7597999999999985,302.55
1930-06-13,83.0845,90.2,7.115499999999997,311.08
1930-06-14,83.0845,90.2,7.115499999999997,317.47
1930-06-15,80.7442,90.2,9.455799999999996,323.88
1930-06-16,92.5968,90.2,-2.396799999999999,330.32
1930-06-17,97.4404,90.2,-7.240399999999994,333.56
1930-06-18,97.4404,90.2,-7.240399999999994,336.8
1930-06-19,95.0115,92.6,-2.4115000000000038,340.04
1930-06-20,95.0115,92.6,-2.4115000000000038,346.56
1930-06-21,92.5968,92.6,0.003199999999992542,349.83
1930-06-22,92.5968,92.6,0.003199999999992542,356.38
1930-06-23,90.1965,95.01,4.813500000000005,359.67
1930-06-24,87.8109,95.01,7.199100000000001,362.97
1930-06-25,85.4402,95.01,9.5698,366.27
1930-06-26,83.0845,95.01,11.9255,368.59
1930-06-27,80.7442,95.01,14.265799999999999,371.16
1930-06-28,78.4194,95.01,16.59060000000001,372.9
1930-06-29,78.4194,95.01,16.59060000000001,372.9
1930-06-30,76.1104,95.01,18.899600000000007,372.9
1930-07-01,73.8174,95.01,21.1926,372.9
1930-07-02,71.5408,95.01,23.4692,371.99
1930-07-03,71.5408,95.01,23.4692,371.99
1930-07-04,71.5408,95.01,23.4692,371.16
1930-07-05,73.8174,95.01,21.1926,369.58
1930-07-06,78.4194,95.01,16.59060000000001,366.44
1930-07-07,78.4194,97.2,18.780600000000007,362.97
1930-07-08,80.7442,95.01,14.265799999999999,359.67
1930-07-09,85.4402,95.01,9.5698,358.0
1930-07-10,92.5968,95.01,2.4132000000000033,355.41
1930-07-11,112.303,95.01,-17.292999999999992,353.1
1930-07-12,132.844,95.01,-37.83399999999999,348.27
1930-07-13,140.747,95.01,-45.73700000000001,346.56
1930-07-14,143.404,95.01,-48.39399999999999,344.11
1930-07-15,138.101,94.08,-44.021,341.67
1930-07-16,132.844,93.14,-39.70399999999999,340.04
1930-07-17,130.233,92.6,-37.63300000000001,336.8
1930-07-18,127.635,92.6,-35.03500000000001,333.56
1930-07-19,125.048,92.6,-32.44800000000001,332.74
1930-07-20,114.827,92.6,-22.227000000000004,330.32
1930-07-21,107.295,92.6,-14.695000000000007,329.39
1930-07-22,99.8834,92.6,-7.2834,327.1
1930-07-23,97.4404,90.2,-7.240399999999994,321.31
1930-07-24,92.5968,90.2,-2.396799999999999,319.19
1930-07-25,90.1965,90.2,0.003500000000002501,315.8
1930-07-26,87.8109,87.81,-0.0009000000000014552,314.27
1930-07-27,87.8109,87.81,-0.0009000000000014552,314.85
1930-07-28,87.8109,87.81,-0.0009000000000014552,314.27
1930-07-29,83.0845,87.81,4.725499999999997,314.27
1930-07-30,83.0845,85.44,2.355499999999992,314.27
1930-07-31,83.0845,85.28,2.1954999999999956,314.27
1930-08-01,80.7442,83.08,2.335799999999992,314.27
1930-08-02,78.4194,83.08,4.660600000000002,314.27
1930-08-03,76.1104,83.08,6.9696,314.27
1930-08-04,76.1104,83.08,6.9696,314.27
1930-08-05,76.1104,83.08,6.9696,314.27
1930-08-06,73.8174,81.44,7.622599999999991,314.27
1930-08-07,71.5408,80.74,9.19919999999999,311.85
1930-08-08,71.5408,80.74,9.19919999999999,311.08
1930-08-09,73.8174,80.74,6.9225999999999885,309.39
1930-08-10,73.8174,80.74,6.9225999999999885,307.9
1930-08-11,83.0845,80.74,-2.3445000000000107,306.19
1930-08-12,92.5968,79.92,-12.6768,305.3
1930-08-13,92.5968,79.92,-12.6768,304.73
1930-08-14,92.5968,79.92,-12.6768,304.73
1930-08-15,90.1965,78.42,-11.776499999999999,300.0
1930-08-16,97.4404,78.42,-19.020399999999995,298.41
1930-08-17,156.861,78.42,-78.44099999999999,298.41
1930-08-18,288.982,78.42,-210.562,296.17
1930-08-19,258.075,78.42,-179.65499999999997,295.26
1930-08-20,270.341,80.74,-189.601,295.26
1930-08-21,307.905,80.74,-227.16499999999996,292.99
1930-08-22,288.982,80.74,-208.24200000000002,292.12
1930-08-23,276.522,80.74,-195.78199999999998,292.12
1930-08-24,258.075,80.74,-177.33499999999998,292.12
1930-08-25,239.926,80.76,-159.166,292.12
1930-08-26,198.815,82.92,-115.895,288.98
1930-08-27,181.76,83.08,-98.67999999999999,288.98
1930-08-28,165.06599999999997,83.08,-81.98599999999998,288.98
1930-08-29,148.753,83.08,-65.67299999999999,288.98
1930-08-30,184.578,83.08,-101.498,288.98
1930-08-31,386.237,85.44,-300.797,288.98
1930-09-01,598.164,85.44,-512.7239999999999,292.12
1930-09-02,654.293,87.81,-566.483,292.99
1930-09-03,692.346,89.73,-602.616,295.26
1930-09-04,703.8580000000002,90.2,-613.6580000000001,295.26
1930-09-05,688.518,90.2,-598.318,296.0
1930-09-06,598.164,92.6,-505.56399999999996,301.57
1930-09-07,503.73,92.6,-411.13,307.9
1930-09-08,440.631,92.6,-348.03099999999995,311.08
1930-09-09,379.555,92.6,-286.95500000000004,314.27
1930-09-10,320.672,92.6,-228.07200000000003,318.13
1930-09-11,295.259,92.6,-202.65900000000002,320.67
1930-09-12,258.075,92.6,-165.475,323.88
1930-09-13,233.946,94.43,-139.516,327.1
1930-09-14,198.815,95.01,-103.80499999999999,330.32
1930-09-15,187.406,95.01,-92.396,333.56
1930-09-16,170.58900000000003,95.01,-75.57900000000002,336.8
1930-09-17,159.585,95.01,-64.575,340.04
1930-09-18,154.14700000000005,97.44,-56.70700000000005,343.3
1930-09-19,148.753,97.44,-51.31299999999999,346.56
1930-09-20,143.404,97.44,-45.964,353.1
1930-09-21,140.747,99.31,-41.43700000000001,356.38
1930-09-22,135.467,99.88,-35.58700000000002,362.97
1930-09-23,132.844,102.3,-30.543999999999997,367.86
1930-09-24,132.844,102.34,-30.50399999999999,372.9
1930-09-25,130.233,102.34,-27.893,377.76
1930-09-26,130.233,102.88,-27.35300000000001,382.89
1930-09-27,127.635,104.57,-23.065000000000012,386.24
1930-09-28,132.844,104.81,-28.033999999999992,396.31
1930-09-29,143.404,106.3,-37.104,408.28
1930-09-30,146.07299999999995,107.3,-38.77299999999995,420.04
1930-10-01,148.753,107.3,-41.45299999999999,426.88
1930-10-02,154.14700000000005,109.2,-44.947000000000045,433.74
1930-10-03,159.585,109.79,-49.795,440.63
1930-10-04,181.76,109.79,-71.96999999999998,451.01
1930-10-05,228.0,112.3,-115.7,456.49
1930-10-06,333.55800000000005,113.01,-220.54800000000006,464.94
1930-10-07,,114.83,,468.78
1930-10-08,,117.36,,476.55
1930-10-09,,117.36,,482.48
1930-10-10,,119.35,,486.01
1930-10-11,,119.91,,493.08
1930-10-12,,122.47,,496.62
1930-10-13,,124.98,,503.73
1930-10-14,,127.26,,505.51
1930-10-15,,129.16,,508.15
1930-10-16,,130.23,,510.86
1930-10-17,,132.84,,514.43
1930-10-18,,132.84,,515.67
1930-10-19,,135.47,,518.01
1930-10-20,,135.47,,520.52
1930-10-21,,135.47,,521.6
1930-10-22,,135.88,,521.6
1930-10-23,,137.75,,518.72
1930-10-24,,138.1,,518.01
1930-10-25,,138.1,,514.43
1930-10-26,,140.75,,511.38
1930-10-27,,140.75,,507.29
1930-10-28,,140.75,,503.73
1930-10-29,,140.75,,496.62
1930-10-30,,143.4,,492.99
1930-10-31,,143.4,,486.0
1930-11-01,,143.4,,481.31
1930-11-02,,143.4,,475.45
1930-11-03,,143.4,,468.44
1930-11-04,,143.4,,464.94
1930-11-05,,143.4,,458.51
1930-11-06,,143.4,,454.48
1930-11-07,,143.4,,451.01
1930-11-08,,143.4,,444.08
1930-11-09,,142.87,,437.18
1930-11-10,,140.75,,430.31
1930-11-11,,140.75,,423.46
1930-11-12,,138.1,,420.04
1930-11-13,,138.1,,413.23
1930-11-14,,135.47,,409.83
1930-11-15,,135.47,,404.39
1930-11-16,,132.84,,396.31
1930-11-17,,132.84,,389.59
1930-11-18,330.325,132.84,-197.48499999999999,382.89
1930-11-19,304.732,131.02,-173.71200000000002,376.22
1930-11-20,285.855,130.23,-155.62500000000003,371.2
1930-11-21,267.262,130.23,-137.032,366.27
1930-11-22,261.129,130.23,-130.89900000000003,364.57
1930-11-23,258.075,128.93,-129.14499999999998,362.97
1930-11-24,251.991,127.64,-124.35100000000001,359.67
1930-11-25,248.962,127.64,-121.32199999999999,359.67
1930-11-26,245.942,126.73,-119.212,355.35
1930-11-27,242.93,125.05,-117.88000000000001,353.1
1930-11-28,239.926,124.4,-115.52599999999998,351.58
1930-11-29,233.946,122.47,-111.476,349.83
1930-11-30,228.0,122.47,-105.53,346.56
1930-12-01,222.09,119.91,-102.18,346.56
1930-12-02,239.926,119.91,-120.01599999999999,346.56
1930-12-03,251.991,117.36,-134.63100000000003,346.56
1930-12-04,245.942,114.83,-131.11200000000002,346.56
1930-12-05,228.0,114.83,-113.17,344.92
1930-12-06,216.216,114.83,-101.38600000000001,343.3
1930-12-07,210.378,114.83,-95.54799999999999,343.3
1930-12-08,198.815,112.3,-86.515,340.04
1930-12-09,195.949,112.3,-83.64900000000002,340.04
1930-12-10,198.815,112.3,-86.515,339.8
1930-12-11,216.216,114.83,-101.38600000000001,338.38
1930-12-12,228.0,114.83,-113.17,336.8
1930-12-13,239.926,114.83,-125.09599999999999,335.07
1930-12-14,258.075,112.3,-145.77499999999998,333.56
1930-12-15,273.427,114.83,-158.59700000000004,333.56
1930-12-16,288.982,114.83,-174.15200000000004,333.56
1930-12-17,353.103,112.3,-240.803,335.07
1930-12-18,546.849,112.3,-434.54900000000004,335.17
1930-12-19,539.606,112.3,-427.306,333.56
1930-12-20,489.541,112.3,-377.241,333.56
1930-12-21,475.446,112.3,-363.146,333.56
1930-12-22,454.484,112.3,-342.18399999999997,333.56
1930-12-23,461.447,112.3,-349.147,331.05
1930-12-24,440.631,112.3,-328.33099999999996,327.1
1930-12-25,413.227,109.79,-303.43699999999995,327.1
1930-12-26,386.237,109.79,-276.447,327.1
1930-12-27,359.6740000000001,109.79,-249.88400000000007,327.1
1930-12-28,353.103,109.79,-243.313,327.1
1930-12-29,349.8280000000001,109.79,-240.03800000000007,327.1
1930-12-30,346.559,109.79,-236.769,327.1
1930-12-31,340.0440000000001,112.3,-227.74400000000009,327.1
1931-01-01,333.55800000000005,112.3,-221.25800000000004,327.1
1931-01-02,379.555,112.3,-267.255,327.1
1931-01-03,382.893,112.3,-270.59299999999996,327.1
1931-01-04,386.237,112.3,-273.937,323.88
1931-01-05,413.227,114.83,-298.397,323.88
1931-01-06,433.742,114.83,-318.91200000000003,323.88
1931-01-07,468.435,114.83,-353.605,327.1
1931-01-08,444.085,114.83,-329.255,327.1
1931-01-09,423.456,117.36,-306.096,328.48
1931-01-10,440.631,114.83,-325.801,331.05
1931-01-11,454.484,114.83,-339.654,333.56
1931-01-12,468.435,114.83,-353.605,336.49
1931-01-13,457.962,117.36,-340.602,336.8
1931-01-14,461.447,117.36,-344.087,340.04
1931-01-15,461.447,117.36,-344.087,340.04
1931-01-16,489.541,117.36,-372.181,343.3
1931-01-17,711.557,117.36,-594.197,346.56
1931-01-18,750.3380000000002,117.36,-632.9780000000002,350.86
1931-01-19,680.878,117.36,-563.518,353.1
1931-01-20,665.6560000000002,119.91,-545.7460000000002,356.38
1931-01-21,680.878,119.91,-560.9680000000001,359.67
1931-01-22,665.6560000000002,122.47,-543.1860000000001,362.97
1931-01-23,627.955,122.47,-505.485,366.27
1931-01-24,624.2130000000002,125.05,-499.1630000000002,369.58
1931-01-25,624.2130000000002,127.64,-496.5730000000002,372.9
1931-01-26,601.869,127.64,-474.22900000000004,374.46
1931-01-27,561.4019999999998,128.77,-432.63199999999983,375.4
1931-01-28,510.86,130.23,-380.63,372.9
1931-01-29,482.482,130.23,-352.25200000000007,372.9
1931-01-30,454.484,130.23,-324.254,372.9
1931-01-31,426.879,132.3,-294.579,369.58
1931-02-01,399.679,132.26,-267.419,369.58
1931-02-02,379.555,132.26,-247.29500000000002,372.19
1931-02-03,353.103,132.26,-220.84300000000002,372.9
1931-02-04,320.672,132.26,-188.41200000000003,375.4
1931-02-05,288.982,131.34,-157.64200000000002,376.24
1931-02-06,264.191,131.34,-132.85099999999997,378.3
1931-02-07,251.991,131.34,-120.65100000000001,379.56
1931-02-08,245.942,130.23,-115.71200000000002,379.56
1931-02-09,270.341,130.23,-140.11100000000002,382.58
1931-02-10,307.905,130.23,-177.67499999999998,382.89
1931-02-11,327.1,131.86,-195.24,383.2
1931-02-12,333.55800000000005,132.84,-200.71800000000005,385.97
1931-02-13,336.797,132.84,-203.95700000000002,386.24
1931-02-14,369.584,132.84,-236.744,389.04
1931-02-15,386.237,134.35,-251.88700000000003,391.76
1931-02-16,353.103,135.47,-217.633,392.94
1931-02-17,340.0440000000001,137.46,-202.5840000000001,392.94
1931-02-18,320.672,138.1,-182.57200000000003,396.31
1931-02-19,295.259,138.1,-157.15900000000002,399.62
1931-02-20,270.341,138.1,-132.241,399.68
1931-02-21,264.191,139.82,-124.37099999999998,402.05
1931-02-22,239.926,139.69,-100.23599999999999,403.06
1931-02-23,233.946,138.1,-95.846,405.41
1931-02-24,228.0,138.1,-89.9,406.44
1931-02-25,233.946,138.1,-95.846,406.44
1931-02-26,239.926,139.16,-100.76599999999999,406.44
1931-02-27,245.942,139.03,-106.912,409.83
1931-02-28,258.075,140.75,-117.32499999999999,409.83
1931-03-01,264.191,140.75,-123.44099999999997,409.83
1931-03-02,261.129,141.21,-119.91900000000001,413.23
1931-03-03,270.341,143.4,-126.941,416.63
1931-03-04,258.075,143.4,-114.67499999999998,420.04
1931-03-05,236.932,143.4,-93.53199999999998,420.04
1931-03-06,239.926,143.4,-96.52599999999998,416.63
1931-03-07,228.0,145.89,-82.11000000000001,416.63
1931-03-08,210.378,146.07,-64.30799999999999,413.23
1931-03-09,204.578,146.07,-58.50800000000001,409.83
1931-03-10,264.191,148.32,-115.87099999999998,406.44
1931-03-11,546.849,148.75,-398.09900000000005,405.9
